step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,5.554179000973286e-05,-8.40574985229823e-06,-0.02809348664037346,-2.1568835378888718e-05,-0.0012949444440417946,2.6751613743545685e-06,0.0,-0.0031949182986377653,0.0006860433928170119,0.0006859967862302208,0.000686089999403803,0.484628430575822,0.12452199638647021,0.3501876135395601,0.35018761353651107,-0.0001876135395601497,-0.0001876135365110887,34.451126808054084,34.4511268092737,34.451126808054084,34.4511268092737,0.0,0.0,1.0,1.0,5.60348983739116,-5.601756448350844,5.603489806502251,-5.601756479778183,5.5544702921407294e-05,5.553887709805842e-05,0.0,0.0,0.12452199638647021,-0.12448347663001877,-0.00013312159577657354,0.12452199570005003,-0.12448347732840408,-0.00013312159577657354,5.60348983739116,-5.601756448350844,-0.0015974591493188826,5.603489806502251,-5.601756479778183,-0.0015974591493188826,-0.0002537511856358574,-0.0002537508232791712
6,0.006,5.541020171635506e-05,-4.5353876392487306e-05,-0.028093873808410625,-9.96647747445644e-05,-0.0012948896238343386,1.485825759453292e-05,0.0,-0.0014986681431272875,0.0006766523617009598,0.0006766068136400926,0.0006766979097618269,0.4846284247932011,0.1245225964880631,0.35018760815174815,0.3501876081486992,-0.00018760815174817536,-0.00018760814869922537,34.451270232218526,34.45127023343961,34.451270232218526,34.45127023343961,0.0,0.0,1.0,1.0,5.60351684196284,-5.601776088647775,5.603516811902849,-5.601776119245775,5.5413113823118844e-05,5.540728960959128e-05,0.0,0.0,0.1245225964880631,-0.12448391308106167,-6.244450596363698e-05,0.12452259582006331,-0.12448391376101722,-6.244450596363698e-05,5.60351684196284,-5.601776088647775,-0.0007493340715636438,5.603516811902849,-5.601776119245775,-0.0007493340715636438,-0.0011725278234149957,-0.0011725256999865193
11,0.011,5.517845414726376e-05,-4.778775072665883e-05,-0.02809436072081095,-9.655348401972721e-05,-0.001294812137247129,1.5986581119753435e-05,0.0,-0.0015497961014042157,0.0006873554091607234,0.0006873107828525577,0.000687400035468889,0.48462841679934504,0.124522504589943,0.35018759940869265,0.35018759940564304,-0.00018759940869267355,-0.00018759940564305744,34.451270566468764,34.45127056770528,34.451270566468764,34.45127056770528,0.0,0.0,1.0,1.0,5.603512706547435,-5.6017803372372885,5.603512677211555,-5.601780367115449,5.518136425791955e-05,5.517554403660797e-05,0.0,0.0,0.124522504589943,-0.12448400749416197,-6.4574837558509e-05,0.12452250393803455,-0.12448400815812109,-6.4574837558509e-05,5.603512706547435,-5.6017803372372885,-0.0007748980507021079,5.603512677211555,-5.601780367115449,-0.0007748980507021079,-0.0011359252364375608,-0.0011359214463795499
16,0.016,5.493469724596001e-05,-4.984791411587871e-05,-0.02809484548380686,-9.71958800165407e-05,-0.0012947275419743984,1.7518214145888336e-05,0.0,-0.0015233682865385685,0.000694801844848224,0.0006947580330970596,0.0006948456565993885,0.48462840831234,0.124522457943854,0.35018759067563515,0.3501875906725837,-0.00018759067563517418,-0.0001875906725837262,34.45127558284017,34.45127558409559,34.45127558284017,34.45127558409559,0.0,0.0,1.0,1.0,5.60351060747343,-5.601784070990941,5.603510578778306,-5.6017841002338296,5.493760433937214e-05,5.4931790152547883e-05,0.0,0.0,0.124522457943854,-0.12448409046646534,-6.347367860577369e-05,0.12452245730618458,-0.12448409111630733,-6.347367860577369e-05,5.60351060747343,-5.601784070990941,-0.0007616841432692842,5.603510578778306,-5.6017841002338296,-0.0007616841432692842,-0.001143483619919427,-0.0011434782628227068
21,0.021,5.468407922487144e-05,-5.024971767409173e-05,-0.02809533302455997,-9.772863422369178e-05,-0.0012946358202209774,1.8868780614508658e-05,0.0,-0.00150258825685721,0.0007002099767434677,0.0007001668939247527,0.0007002530595621827,0.4846283995316426,0.12452242103476625,0.3501875819309537,0.3501875819278995,-0.00018758193095369524,-0.0001875819278995272,34.451278387775325,34.451278389051076,34.451278387775325,34.451278389051076,0.0,0.0,1.0,1.0,5.603508946564482,-5.601786646459652,5.603508918443314,-5.601786675134601,5.468698241666604e-05,5.468117603307684e-05,0.0,0.0,0.12452242103476625,-0.12448414769910338,-6.260784403571708e-05,0.12452242040985143,-0.12448414833632447,-6.260784403571708e-05,5.603508946564482,-5.601786646459652,-0.000751294128428605,5.603508918443314,-5.601786675134601,-0.000751294128428605,-0.001149752049010824,-0.0011497452268407467
26,0.026000000000000002,5.443428183503202e-05,-4.927249988320678e-05,-0.028095823481531845,-9.834479718027046e-05,-0.0012945379585951316,2.0008040422146725e-05,0.0,-0.0014833023169658556,0.0007037536312996293,0.0007037112081082464,0.0007037960544910122,0.4846283906899183,0.12452239372924756,0.3501875732966326,0.35018757329357403,-0.0001875732966326038,-0.0001875732935740504,34.451279362697825,34.45127936399331,34.451279362697825,34.45127936399331,0.0,0.0,1.0,1.0,5.60350771781614,-5.601788193778507,5.603507690214571,-5.601788221939731,5.4437180351638376e-05,5.443138331842566e-05,0.0,0.0,0.12452239372924756,-0.12448418208396682,-6.180426320691065e-05,0.12452239311587936,-0.1244841827097718,-6.180426320691065e-05,5.60350771781614,-5.601788193778507,-0.0007416511584829278,5.603507690214571,-5.601788221939731,-0.0007416511584829278,-0.001157001706891297,-0.0011569935208797725
31,0.031,5.419175413418478e-05,-4.7133511180799334e-05,-0.02809631727703044,-9.90479481857e-05,-0.0012944353688403925,2.0819416895074064e-05,0.0,-0.0014655820904748956,0.0007057840036049738,0.0007057421852743134,0.0007058258219356342,0.48462838200975983,0.12452241111129264,0.35018756490072395,0.35018756489766034,-0.0001875649007239688,-0.00018756489766036388,34.45127795544611,34.451277956760045,34.45127795544611,34.451277956760045,0.0,0.0,1.0,1.0,5.603508500008169,-5.601789193015475,5.603508472855242,-5.601789220734399,5.419464729274323e-05,5.418886097562632e-05,0.0,0.0,0.12452241111129264,-0.12448420428923278,-6.106592043645398e-05,0.12452241050789427,-0.12448420490520887,-6.106592043645398e-05,5.603508500008169,-5.601789193015475,-0.0007327910452374478,5.603508472855242,-5.601789220734399,-0.0007327910452374478,-0.0011652747058033333,-0.0011652652515072547
36,0.036000000000000004,5.3962111755657215e-05,-4.392652363733884e-05,-0.028096814856617237,-9.984123411540543e-05,-0.001294329605968175,2.13306315111041e-05,0.0,-0.0014492821029248254,0.0007063108205425753,0.000706269559083492,0.0007063520820016587,0.4846283736744966,0.12452239466827507,0.3501875568725715,0.3501875568695018,-0.00018755687257154818,-0.00018755686950183703,34.45127467550558,34.451274676835936,34.45127467550558,34.451274676835936,0.0,0.0,1.0,1.0,5.603507760072378,-5.601788866368603,5.603507733358068,-5.601788893653787,5.39649989486428e-05,5.3959224562671636e-05,0.0,0.0,0.12452239466827507,-0.12448419703041338,-6.038675428853439e-05,0.12452239407462373,-0.12448419763675084,-6.038675428853439e-05,5.603507760072378,-5.601788866368603,-0.0007246410514624127,5.603507733358068,-5.601788893653787,-0.0007246410514624127,-0.0011746080676897424,-0.0011745974409080322
41,0.041,5.375042869575576e-05,-3.978165445878178e-05,-0.028097316687290038,-0.00010073019936651743,-0.001294222294403521,2.150084050432291e-05,0.0,-0.0014343265340739865,0.0007054279258712391,0.000705387179624339,0.0007054686721181391,0.4846283658244204,0.1245223844140882,0.3501875493084683,0.35018754930539175,-0.00018754930846831552,-0.0001875493053917765,34.45126971527606,34.451269716620615,34.45126971527606,34.451269716620615,0.0,0.0,1.0,1.0,5.603507298633969,-5.601787714121788,5.603507272325297,-5.60178774100552,5.375330938269595e-05,5.374754800881557e-05,0.0,0.0,0.1245223844140882,-0.12448417142492862,-5.976360558641611e-05,0.12452238382945105,-0.12448417202234488,-5.976360558641611e-05,5.603507298633969,-5.601787714121788,-0.0007171632670369933,5.603507272325297,-5.60178774100552,-0.0007171632670369933,-0.0011850670227380566,-0.0011850553152976478
46,0.046,5.3561155524865546e-05,-3.481570775488886e-05,-0.028097823265262934,-0.00010172074921901011,-0.0012941152542952615,2.1292236030971578e-05,0.0,-0.001420639540735424,0.0007032629613830897,0.0007032226943564715,0.000703303228409708,0.48462835857547054,0.12452237957438292,0.350187542297683,0.35018754229459903,-0.00018754229768302988,-0.00018754229459905236,34.45126316770385,34.451263169060404,34.45126316770385,34.451263169060404,0.0,0.0,1.0,1.0,5.603507080847232,-5.60178580140478,5.603507054915665,-5.601785827914907,5.3564029223265156e-05,5.355828182646594e-05,0.0,0.0,0.12452237957438292,-0.12448412892010623,-5.919331419730933e-05,0.12452237899812589,-0.12448412950922015,-5.919331419730933e-05,5.603507080847232,-5.60178580140478,-0.000710319770367712,5.603507054915665,-5.601785827914907,-0.000710319770367712,-0.001196721046986539,-0.0011967083464019342
