step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,5.554179000973286e-05,1.2887456731734033e-06,-0.028093465928463738,-8.569256558709805e-07,-0.0012949479867333763,-8.675302072553409e-07,0.0,-0.0013649245856120614,0.0006317624291828993,0.0006317158225961083,0.0006318090357696903,0.4846284308864902,0.12452246853844717,0.3501876135395601,0.35018761353651107,-0.0001876135395601497,-0.0001876135365110887,34.451126808054084,34.4511268092737,34.451126808054084,34.4511268092737,0.0,0.0,1.0,1.0,5.603511084230123,-5.601735178899551,5.603511053341162,-5.6017352103268365,5.5544702921407294e-05,5.553887709805842e-05,0.0,0.0,0.12452246853844717,-0.12448300397554557,-5.6871857733835894e-05,0.12452246785202582,-0.1244830046739297,-5.6871857733835894e-05,5.603511084230123,-5.601735178899551,-0.0006824622928060307,5.603511053341162,-5.6017352103268365,-0.0006824622928060307,-1.0081659452914827e-05,-1.0081297155814124e-05
6,0.006,5.556116440254181e-05,7.706467321410356e-06,-0.028093482881504622,-4.920534995161742e-06,-0.0012949657700999353,-5.566349142843948e-06,0.0,-0.0013413862342290595,0.0005963916584232467,0.0005963461103327039,0.0005964372065137896,0.4846284310480722,0.12452276419706992,0.35018761366385004,0.35018761366080053,-0.0001876136638500614,-0.0001876136608005563,34.451123488856204,34.451123490084974,34.451123488856204,34.451123490084974,0.0,0.0,1.0,1.0,5.603524388868147,-5.601720779956484,5.603524358809281,-5.601720810555701,5.556407650937797e-05,5.5558252295705655e-05,0.0,0.0,0.12452276419706992,-0.12448268399903296,-5.589109309287748e-05,0.12452276352909514,-0.12448268467901558,-5.589109309287748e-05,5.603524388868147,-5.601720779956484,-0.0006706931171145298,5.603524358809281,-5.601720810555701,-0.0006706931171145298,-5.7889708556595756e-05,-5.7887585447209934e-05
11,0.011,5.561225397886261e-05,1.3950085906972359e-05,-0.02809351702260571,-8.052218294608276e-06,-0.001295011867035199,-1.1815757281370002e-05,0.0,-0.0013293398960198535,0.0005697685143132269,0.0005697238879838032,0.0005698131406426506,0.48462843149067936,0.12452297664405255,0.3501876140633811,0.3501876140603305,-0.0001876140633811363,-0.00018761406033052097,34.451118198951534,34.451118200197016,34.451118198951534,34.451118200197016,0.0,0.0,1.0,1.0,5.603533948982365,-5.6017094882078915,5.603533919647788,-5.601709518087435,5.5615164089513606e-05,5.560934386821161e-05,0.0,0.0,0.12452297664405255,-0.12448243307128648,-5.538916233416056e-05,0.12452297599217306,-0.12448243373527633,-5.538916233416056e-05,5.603533948982365,-5.6017094882078915,-0.0006646699480099267,5.603533919647788,-5.601709518087435,-0.0006646699480099267,-9.473387478303647e-05,-9.473008509009945e-05
16,0.016,5.569425680165615e-05,2.0052158736507368e-05,-0.028093565905309877,-1.0918200412724459e-05,-0.0012950927895574874,-1.9229609407662488e-05,0.0,-0.001321807534914223,0.0005475819198970282,0.0005475381080674738,0.0005476257317265827,0.48462843228520014,0.12452314685215161,0.35018761481799004,0.35018761481493715,-0.00018761481799006718,-0.0001876148149371759,34.45111189943033,34.45111190069622,34.45111189943033,34.45111190069622,0.0,0.0,1.0,1.0,5.603541608346823,-5.6016997706789144,5.603541579653171,-5.6016997999234475,5.5697163895379736e-05,5.569134970793256e-05,0.0,0.0,0.12452314685215161,-0.1244822171261981,-5.5075313954759295e-05,0.12452314621451491,-0.12448221777607661,-5.5075313954759295e-05,5.603541608346823,-5.6016997706789144,-0.0006609037674571115,5.603541579653171,-5.6016997999234475,-0.0006609037674571115,-0.00012845209491222774,-0.00012844673832834776
21,0.021,5.5806552407102694e-05,2.6053110135269244e-05,-0.028093628991118724,-1.3755915196566639e-05,-0.001295213731487421,-2.7610906226819997e-05,0.0,-0.0013162386010698744,0.0005278083116536575,0.0005277652288210523,0.0005278513944862626,0.4846284334725785,0.12452329383795255,0.3501876159667955,0.3501876159637391,-0.00018761596679550685,-0.00018761596373911837,34.45110498181765,34.45110498310477,34.45110498181765,34.45110498310477,0.0,0.0,1.0,1.0,5.603548222707865,-5.60169089812396,5.603548194588338,-5.601690926800626,5.580945559920468e-05,5.580364921500071e-05,0.0,0.0,0.12452329383795255,-0.12448201995831022,-5.48432750445781e-05,0.12452329321307419,-0.12448202059556947,-5.48432750445781e-05,5.603548222707865,-5.60169089812396,-0.0006581193005349372,5.603548194588338,-5.601690926800626,-0.0006581193005349372,-0.000161837707234726,-0.00016183088562566548
26,0.026000000000000002,5.5948703667235686e-05,3.198427229251936e-05,-0.02809370641385626,-1.6647819542619296e-05,-0.0012953791783737896,-3.6848608372169065e-05,0.0,-0.0013117037036890799,0.0005094057917847286,0.0005093633684440569,0.0005094482151254003,0.4846284350781416,0.12452342731591096,0.3501876175316005,0.3501876175285392,-0.00018761753160051464,-0.00018761752853924119,34.45109762645234,34.451097627760184,34.45109762645234,34.451097627760184,0.0,0.0,1.0,1.0,5.603554229215993,-5.601682491613796,5.603554201616101,-5.601682519776985,5.595160218430154e-05,5.594580515016984e-05,0.0,0.0,0.12452342731591096,-0.12448183314697325,-5.4654320987045e-05,0.12452342670258001,-0.12448183377282189,-5.4654320987045e-05,5.603554229215993,-5.601682491613796,-0.0006558518518445399,5.603554201616101,-5.601682519776985,-0.0006558518518445399,-0.0001958607932010961,-0.00019585260780171087
31,0.031,5.6120407089997235e-05,3.7866178686074176e-05,-0.028093798536136243,-1.962121920029148e-05,-0.0012955931954648117,-4.6873809938704744e-05,0.0,-0.001307862882901886,0.0004917909662264817,0.0004917491478470374,0.000491832784605926,0.48462843711484654,0.12452355022970801,0.35018761952347904,0.350187619520412,-0.00018761952347906563,-0.00018761952041201901,34.45108999609436,34.451089997421036,34.45108999609436,34.451089997421036,0.0,0.0,1.0,1.0,5.603559760336861,-5.601674239252847,5.603559733185819,-5.601674266973789,5.612330024908675e-05,5.6117513930907717e-05,0.0,0.0,0.12452355022970801,-0.12448164976117437,-5.4494286787578586e-05,0.12452354962635154,-0.1244816503771953,-5.4494286787578586e-05,5.603559760336861,-5.601674239252847,-0.000653931441450943,5.603559733185819,-5.601674266973789,-0.000653931441450943,-0.00023084259979208222,-0.00023083314609712905
36,0.036000000000000004,5.632143979296411e-05,4.3709093373408375e-05,-0.02809390579263328,-2.2684094225559364e-05,-0.0012958595807185578,-5.764187276134546e-05,0.0,-0.0013045918475702528,0.0004746291427627393,0.00047458788125697153,0.0004746704042685071,0.4846284395892953,0.12452367104441675,0.35018762194702,0.3501876219439462,-0.00018762194702004464,-0.00018762194394622567,34.451082122779006,34.45108212412253,34.451082122779006,34.45108212412253,0.0,0.0,1.0,1.0,5.603565196998754,-5.601666234642311,5.603565170286381,-5.601666261929566,5.6324326986631393e-05,5.631855259929682e-05,0.0,0.0,0.12452367104441675,-0.12448147188094023,-5.435799364876054e-05,0.12452367045080846,-0.12448147248732369,-5.435799364876054e-05,5.603565196998754,-5.601666234642311,-0.0006522959237851264,5.603565170286381,-5.601666261929566,-0.0006522959237851264,-0.0002668770098599108,-0.00026686638368266245
41,0.041,5.655161760527207e-05,4.951745693201342e-05,-0.028094028636893725,-2.5838164366822452e-05,-0.0012961819482753616,-6.912055627255714e-05,0.0,-0.0013018422107891005,0.0004577123343599589,0.00045767158809062843,0.0004577530806292894,0.4846284425035851,0.12452378906732618,0.3501876248047079,0.35018762480162646,-0.00018762480470790877,-0.00018762480162648476,34.45107406661003,34.45107406796794,34.45107406661003,34.45107406796794,0.0,0.0,1.0,1.0,5.603570508029678,-5.601658296291565,5.603570481722979,-5.601658323177363,5.655449829300563e-05,5.6548736917538514e-05,0.0,0.0,0.12452378906732618,-0.12448129547314589,-5.4243425449545855e-05,0.12452378848273288,-0.12448129607060807,-5.4243425449545855e-05,5.603570508029678,-5.601658296291565,-0.0006509211053945502,5.603570481722979,-5.601658323177363,-0.0006509211053945502,-0.000303984257719232,-0.00030397255091188453
46,0.046,5.6810769368672707e-05,5.5291474973796035e-05,-0.028094167524622366,-2.9083255866650986e-05,-0.001296563776184394,-8.128556513323657e-05,0.0,-0.0012995927008655106,0.00044090796087921966,0.00044086769384255086,0.00044094822791588845,0.4846284458544382,0.12452390570708054,0.3501876280944741,0.3501876280913843,-0.00018762809447414597,-0.00018762809138433978,34.451065898264645,34.45106589963466,34.451065898264645,34.45106589963466,0.0,0.0,1.0,1.0,5.603575756818624,-5.601650383744187,5.603575730889042,-5.601650410256375,5.681364306766176e-05,5.680789566968365e-05,0.0,0.0,0.12452390570708054,-0.12448111963875971,-5.414969586939628e-05,0.1245239051308676,-0.12448112022791945,-5.414969586939628e-05,5.603575756818624,-5.601650383744187,-0.0006497963504327553,5.603575730889042,-5.601650410256375,-0.0006497963504327553,-0.00034216230134845386,-0.0003421496013962752
