step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,0.0016305830072703845,5.891427790242363e-06,-0.028001575484639694,-2.473670042061573e-06,-0.0016271053483165906,-1.5767426263001652e-05,0.0,-0.0013705980062579163,-0.0021238756258043926,-0.0010619845451600636,-0.001061891080644329,0.4846285173808328,0.1245447589566928,0.3501877235773882,0.350187723574425,-0.00018772357738822132,-0.00018772357442503607,34.451082792922854,34.451082794108125,34.451082792922854,34.451082794108125,0.0,0.0,1.0,1.0,5.604514153051176,-5.600706382331097,5.604514122065105,-5.600706413829279,3.4805797199106197e-06,3.4747381876772093e-06,0.0,0.0,0.1245447589566928,-0.12446014182957994,-5.710825026074651e-05,0.12454475826811344,-0.12446014252953953,-5.710825026074651e-05,5.604514153051176,-5.600706382331097,-0.0006852990031289581,5.604514122065105,-5.600706413829279,-0.0006852990031289581,-2.910218212862175e-05,-2.9101818861062316e-05
6,0.006,0.0016307518532472885,3.5932850054521904e-05,-0.02800162616236934,-1.5678964008597884e-05,-0.0016274208429553187,-9.589543817698894e-05,0.0,-0.00140503312641628,-0.0026942503543220357,-0.0013471708480962221,-0.0013470795062258136,0.4846285178452475,0.12454721820318608,0.3501877237735732,0.35018772377060997,-0.000187723773573234,-0.00018772377060999323,34.45107698953526,34.4510769907228,34.45107698953526,34.4510769907228,0.0,0.0,1.0,1.0,5.604624819143374,-5.600593672984123,5.6046247889881045,-5.600593703650519,3.333930251068998e-06,3.328090332870622e-06,0.0,0.0,0.12454721820318608,-0.12445763717742495,-5.854304693401167e-05,0.124547217533069,-0.12445763785890042,-5.854304693401167e-05,5.604624819143374,-5.600593672984123,-0.00070251656320814,5.6046247889881045,-5.600593703650519,-0.00070251656320814,-0.00018445946463106202,-0.00018445733557124114
11,0.011,0.001631084246910827,6.800029573341955e-05,-0.028001752112906064,-3.186967645656441e-05,-0.001628164806582963,-0.00018547091439867974,0.0,-0.0014306139058594917,-0.0033431588252719993,-0.001671624159173608,-0.0016715346660983914,0.4846285188792369,0.12455001546886138,0.350187724365025,0.35018772436206125,-0.00018772436502501044,-0.00018772436206127008,34.451070223334845,34.451070224530746,34.451070223334845,34.451070224530746,0.0,0.0,1.0,1.0,5.604750696098762,-5.600465418180474,5.604750666668076,-5.6004654481233604,2.922358285389391e-06,2.9165223703384655e-06,0.0,0.0,0.12455001546886138,-0.1244547870706772,-5.9608912744145485e-05,0.12455001481484615,-0.12445478773607467,-5.9608912744145485e-05,5.604750696098762,-5.600465418180474,-0.0007153069529297458,5.604750666668076,-5.6004654481233604,-0.0007153069529297458,-0.00037493927023028945,-0.00037493546992416725
16,0.016,0.0016315924954130967,0.00010251366144808401,-0.02800196638398975,-5.048910962950435e-05,-0.0016293883480131583,-0.0002858033953258393,0.0,-0.0014533551701128317,-0.004080996713661104,-0.002040542286877161,-0.002040454426783943,0.4846285204733845,0.12455319506415147,0.35018772540751675,0.3501877254045519,-0.00018772540751677003,-0.00018772540455191944,34.451062246961115,34.45106224816852,34.451062246961115,34.45106224816852,0.0,0.0,1.0,1.0,5.604893777886816,-5.600319540658808,5.6048937490967194,-5.60031956996323,2.207062332493657e-06,2.2012324673829736e-06,0.0,0.0,0.12455319506415147,-0.12445154534797352,-6.055646542136799e-05,0.12455319442437154,-0.1244515459991829,-6.055646542136799e-05,5.604893777886816,-5.600319540658808,-0.0007266775850564159,5.6048937490967194,-5.60031956996323,-0.0007266775850564159,-0.0005939922108270785,-0.0005939868392789063
21,0.021,0.0016322909622849679,0.00013981319474493868,-0.028002280651548698,-7.14147022026088e-05,-0.0016311495348394292,-0.0003983437517133668,0.0,-0.0014759789961363522,-0.004919399411849248,-0.0024597429050018634,-0.0024596565068473845,0.48462852263629336,0.12455680760256131,0.35018772696385336,0.3501877269608869,-0.00018772696385338516,-0.00018772696088692475,34.45105306539911,34.45105306661751,34.45105306539911,34.45105306661751,0.0,0.0,1.0,1.0,5.605056342115259,-5.600153761256538,5.605056313898681,-5.600153789989396,1.1443384662511042e-06,1.1385164248263648e-06,0.0,0.0,0.12455680760256131,-0.1244478613612564,-6.149912483901467e-05,0.12455680697552624,-0.12444786199976436,-6.149912483901467e-05,5.605056342115259,-5.600153761256538,-0.000737989498068176,5.605056313898681,-5.600153789989396,-0.000737989498068176,-0.0008401763877461412,-0.0008401695464328893
26,0.026000000000000002,0.0016331958549893654,0.00018022877841329665,-0.02800270665893893,-9.473475131880099e-05,-0.0016335142054427374,-0.0005247188852554246,0.0,-0.0014997620154493414,-0.005871491967201268,-0.0029357885213730224,-0.002935703445828246,0.4846285253875502,0.12456091042918237,0.3501877290923646,0.35018772908939577,-0.0001877290923646413,-0.0001877290893957939,34.45104275386373,34.451042755090604,34.45104275386373,34.451042755090604,0.0,0.0,1.0,1.0,5.605240969313207,-5.5999655203253065,5.6052409416151505,-5.599965548540738,-3.1544412029404165e-07,-3.212567864500128e-07,0.0,0.0,0.12456091042918237,-0.12444367822945125,-6.249008397705589e-05,0.12456090981367002,-0.12444367885646085,-6.249008397705589e-05,5.605240969313207,-5.5999655203253065,-0.0007498810077246707,5.6052409416151505,-5.599965548540738,-0.0007498810077246707,-0.0011145305906486108,-0.0011145223815584708
31,0.031,0.0016343267399936568,0.000224367088367023,-0.028003257206470795,-0.00012074168713836635,-0.0016365597979270544,-0.0006677258815010172,0.0,-0.001525787071181711,-0.00695758211027847,-0.0034788329864684103,-0.0034787491238100596,0.4846285287559746,0.12456580226742799,0.3501877318448795,0.3501877318419082,-0.000187731844879524,-0.0001877318419082341,34.45103140496933,34.45103140620145,34.45103140496933,34.45103140620145,0.0,0.0,1.0,1.0,5.605461102034259,-5.599740914383426,5.605461074783101,-5.599740942152488,-2.2301569724390367e-06,-2.235958894356185e-06,0.0,0.0,0.12456580226742799,-0.12443868698629834,-6.357446129923796e-05,0.12456580166184668,-0.12443868760338862,-6.357446129923796e-05,5.605461102034259,-5.599740914383426,-0.0007628935355908555,5.605461074783101,-5.599740942152488,-0.0007628935355908555,-0.001420495177597219,-0.0014204856962466948
36,0.036000000000000004,0.001635703731705015,0.00027238864955428377,-0.028003946399110597,-0.0001496605019920256,-0.0016403729758617475,-0.0008285621691749585,0.0,-0.001553932422720527,-0.008191058873370419,-0.004095570809763571,-0.004095488063606848,0.48462853278207424,0.12457112072600197,0.35018773527332014,0.350187735270346,-0.00018773527332016648,-0.00018773527034604554,34.45101890143913,34.45101890267263,34.45101890143913,34.45101890267263,0.0,0.0,1.0,1.0,5.605700432670089,-5.599497178060395,5.6057004058555,-5.599497205391515,-4.666349177121875e-06,-4.672139136343064e-06,0.0,0.0,0.12457112072600197,-0.12443327062356434,-6.474718428002196e-05,0.12457112013012223,-0.12443327123092256,-6.474718428002196e-05,5.605700432670089,-5.599497178060395,-0.0007769662113602635,5.6057004058555,-5.599497205391515,-0.0007769662113602635,-0.0017607171169933885,-0.0017607064592895668
41,0.041,0.001637349510833839,0.00032475122068139446,-0.0280047897581338,-0.00018181869280524393,-0.0016450498940995854,-0.0010096011165628953,0.0,-0.0015844206082697599,-0.009589782703951746,-0.004794932208438817,-0.004794850495512929,0.48462853751993934,0.12457715302169568,0.35018773943807063,0.35018773943509385,-0.0001877394380706554,-0.00018773943509386992,34.45100509076527,34.451005091995654,34.45100509076527,34.451005091995654,0.0,0.0,1.0,1.0,5.605971885976306,-5.59922084851469,5.605971859564886,-5.599220875439691,-7.697494809461157e-06,-7.70327172203176e-06,0.0,0.0,0.12457715302169568,-0.12442712996699312,-6.601752534457333e-05,0.12457715243477525,-0.12442713056532648,-6.601752534457333e-05,5.605971885976306,-5.59922084851469,-0.00079221030413488,5.605971859564886,-5.599220875439691,-0.00079221030413488,-0.002139049315667077,-0.0021390375738680736
46,0.046,0.0016392894549396488,0.00038197428564981856,-0.028005804597533837,-0.0002175967046127891,-0.001650699416110312,-0.0012135050768307051,0.0,-0.0016175593808437584,-0.011175311788642395,-0.005587696270270466,-0.0055876155183719285,0.4846285430393691,0.12458399208696985,0.3501877444096954,0.35018774440671646,-0.00018774440969543393,-0.00018774440671648351,34.45098974850965,34.45098974973218,34.45098974850965,34.45098974973218,0.0,0.0,1.0,1.0,5.606279643913643,-5.598907664863687,5.6062796178762735,-5.598907691410004,-1.1407079721266699e-05,-1.141284262005975e-05,0.0,0.0,0.12458399208696985,-0.12442017033030416,-6.73983075351566e-05,0.12458399150836164,-0.12442017092022233,-6.73983075351566e-05,5.606279643913643,-5.598907664863687,-0.0008087796904218791,5.6062796178762735,-5.598907691410004,-0.0008087796904218791,-0.002559967599958014,-0.002559954861519376
