step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,3.4776589537939145e-06,1.3230719369933883e-06,-0.02800157389403798,-8.830683259015829e-07,-0.00162709047064539,-8.897550622964418e-07,0.0,-0.0013402127529680986,0.0017649740518671346,0.0008824402936757,0.0008825337581914346,0.48462851736513035,0.12452784856934258,0.3501877235773882,0.350187723574425,-0.00018772357738822132,-0.00018772357442503607,34.451082792922854,34.451082794108125,34.451082792922854,34.451082794108125,0.0,0.0,1.0,1.0,5.603753185620416,-5.601468411350711,5.603753154636255,-5.601468442850807,3.4805797199106197e-06,3.4747381876772093e-06,0.0,0.0,0.12452784856934258,-0.12447707580779359,-5.5842198040337444e-05,0.12452784788080568,-0.12447707650779571,-5.5842198040337444e-05,5.603753185620416,-5.601468411350711,-0.0006701063764840493,5.603753154636255,-5.601468442850807,-0.0006701063764840493,-1.0389220739800169e-05,-1.0388857516707664e-05
6,0.006,3.4975210295071783e-06,7.990385907303205e-06,-0.028001591266956793,-5.026384239474429e-06,-0.001627108552353847,-5.562290610190028e-06,0.0,-0.0013164789320126227,0.0017284692353772254,0.0008641889467027211,0.0008642802886745043,0.48462851748844454,0.12452799757715839,0.3501877236787044,0.35018772367574075,-0.000187723678704399,-0.00018772367574076965,34.45108010358276,34.45108010477801,34.45108010358276,34.45108010477801,0.0,0.0,1.0,1.0,5.603759890972127,-5.601460821326027,5.603759860820247,-5.601460851995893,3.5004409886460824e-06,3.494601070368274e-06,0.0,0.0,0.12452799757715839,-0.12447690714057838,-5.485328883385928e-05,0.1245279969071166,-0.12447690782213096,-5.485328883385928e-05,5.603759890972127,-5.601460821326027,-0.0006582394660063114,5.603759860820247,-5.601460851995893,-0.0006582394660063114,-5.91349966358364e-05,-5.913286782238546e-05
11,0.011,3.5512533490905083e-06,1.48953569994594e-05,-0.02800162586767991,-8.124951532221702e-06,-0.0016271528922317546,-1.1180036124372619e-05,0.0,-0.001304602340771366,0.0016959845437100364,0.0008479475251391185,0.0008480370185709179,0.484628517841757,0.12452812238244473,0.35018772401270404,0.3501877240097392,-0.00018772401270406025,-0.00018772400973920966,34.45107555455513,34.4510755557679,34.45107555455513,34.4510755557679,0.0,0.0,1.0,1.0,5.603765507210013,-5.601453716648799,5.603765477784408,-5.6014537465970475,3.5541713066162335e-06,3.5483353915647835e-06,0.0,0.0,0.12452812238244473,-0.12447674925886221,-5.435843086547358e-05,0.1245281217285424,-0.12447674992437884,-5.435843086547358e-05,5.603765507210013,-5.601453716648799,-0.000652301170385683,5.603765477784408,-5.6014537465970475,-0.000652301170385683,-9.558956498109901e-05,-9.55857651888234e-05
16,0.016,3.6396989681480556e-06,2.188324473367224e-05,-0.028001674831134832,-1.0890530483731167e-05,-0.0016272277526993167,-1.7599442902415215e-05,0.0,-0.001297430121116607,0.001665155231492461,0.0008325336857607137,0.0008326215457317473,0.4846285184928024,0.12452823673895723,0.350187724653314,0.35018772465034675,-0.00018772465331401422,-0.00018772465034677666,34.45107010606884,34.45107010730275,34.45107010606884,34.45107010730275,0.0,0.0,1.0,1.0,5.6037706532530756,-5.6014467900691285,5.603770624470162,-5.601446819380637,3.6426139005450794e-06,3.6367840357510318e-06,0.0,0.0,0.12452823673895723,-0.12447659533486952,-5.405958837985863e-05,0.12452823609933693,-0.12447659598623638,-5.405958837985863e-05,5.6037706532530756,-5.6014467900691285,-0.0006487150605583035,5.603770624470162,-5.601446819380637,-0.0006487150605583035,-0.0001281265734962637,-0.00012812120259152843
21,0.021,3.763140005445694e-06,2.889447309702923e-05,-0.028001737364004534,-1.358609790855192e-05,-0.001627336935132471,-2.47557675417904e-05,0.0,-0.0012923072123660654,0.0016350499262359815,0.0008174817641804611,0.0008175681620555204,0.4846285194805429,0.12452834604546745,0.3501877256347197,0.3501877256317486,-0.00018772563471974868,-0.00018772563174862533,34.451064131294025,34.45106413254981,34.451064131294025,34.45106413254981,0.0,0.0,1.0,1.0,5.603775572046035,-5.601439919761714,5.603775543838868,-5.6014399485037645,3.7660510256824476e-06,3.7602289852089406e-06,0.0,0.0,0.12452834604546745,-0.12447644266137142,-5.3846133848586056e-05,0.12452834541864151,-0.12447644330008366,-5.3846133848586056e-05,5.603775572046035,-5.601439919761714,-0.0006461536061830327,5.603775543838868,-5.6014399485037645,-0.0006461536061830327,-0.0001598398659264392,-0.00015983302603948831
26,0.026000000000000002,3.921639638926066e-06,3.5904701788244895e-05,-0.028001813437432493,-1.6308542922188103e-05,-0.0016274840159180288,-3.261467246617388e-05,0.0,-0.0012882473662637183,0.0016052660963230337,0.0008025905106049761,0.0008026755857180576,0.4846285208292635,0.12452845262148811,0.35018772697523465,0.35018772697225875,-0.00018772697523466997,-0.00018772697225877266,34.4510577877121,34.451057788988926,34.4510577877121,34.451057788988926,0.0,0.0,1.0,1.0,5.603780367966965,-5.601433052459468,5.60378034028088,-5.601433080686528,3.924545971567707e-06,3.918733306284426e-06,0.0,0.0,0.12452845262148811,-0.12447629005465484,-5.3676973594321596e-05,0.12452845200624178,-0.12447629068192284,-5.3676973594321596e-05,5.603780367966965,-5.601433052459468,-0.0006441236831318592,5.60378034028088,-5.601433080686528,-0.0006441236831318592,-0.00019186931446867013,-0.00019186110722987348
31,0.031,4.115179479233008e-06,4.290785388842977e-05,-0.028001903302092693,-1.9092872237307693e-05,-0.0016276724172538367,-4.114690393105877e-05,0.0,-0.0012848806598340355,0.0015755337947409593,0.0007877249662206214,0.0007878088285203379,0.48462852255197736,0.12452855419464692,0.35018772868417486,0.35018772868119263,-0.00018772868417488153,-0.00018772868119265596,34.451051208028716,34.45105120932533,34.451051208028716,34.45105120932533,0.0,0.0,1.0,1.0,5.603784938759111,-5.60142613708927,5.6037849115230784,-5.601426164873173,4.118080439279307e-06,4.11227851918671e-06,0.0,0.0,0.12452855419464692,-0.12447613637976154,-5.353669415975148e-05,0.12452855358940175,-0.12447613699718162,-5.353669415975148e-05,5.603784938759111,-5.60142613708927,-0.0006424403299170177,5.6037849115230784,-5.601426164873173,-0.0006424403299170177,-0.00022462676576911597,-0.00022461728687341793
36,0.036000000000000004,4.343695849117665e-06,4.9890332239365385e-05,-0.028002007312175593,-2.1952646394696398e-05,-0.001627905482690026,-5.034494500334603e-05,0.0,-0.0012820691796817374,0.001545814502575932,0.00077286587851293,0.000772948624063002,0.4846285246557818,0.12452865886000251,0.3501877307657068,0.35018773076271775,-0.00018773076570682834,-0.0001877307627177749,34.45104441327239,34.45104441458642,34.45104441327239,34.45104441458642,0.0,0.0,1.0,1.0,5.603789648700113,-5.601419209040421,5.603789621903947,-5.601419236389484,4.346590827577896e-06,4.340800870657434e-06,0.0,0.0,0.12452865886000251,-0.12447598242312047,-5.3419549153405723e-05,0.12452865826453216,-0.12447598303087742,-5.3419549153405723e-05,5.603789648700113,-5.601419209040421,-0.0006410345898408687,5.603789621903947,-5.601419236389484,-0.0006410345898408687,-0.00025827175538519766,-0.00025826110096059993
41,0.041,4.6070744563961946e-06,5.6846825348528445e-05,-0.028002125860756972,-2.489263924018399e-05,-0.0016281864996366064,-6.019509373987977e-05,0.0,-0.0012797574692118706,0.0015160555056188902,0.0007579868967278988,0.0007580686088909913,0.48462852714349336,0.12452876309250327,0.3501877332224906,0.35018773321949365,-0.00018773322249060476,-0.00018773321949366872,34.45103745091003,34.45103745223896,34.45103745091003,34.45103745223896,0.0,0.0,1.0,1.0,5.603794339162647,-5.601412245945285,5.603794312773314,-5.601412272891766,4.609962911174343e-06,4.6041860016180455e-06,0.0,0.0,0.12452876309250327,-0.12447582768767301,-5.332322788382794e-05,0.12452876250607364,-0.12447582828648368,-5.332322788382794e-05,5.603794339162647,-5.601412245945285,-0.0006398787346059353,5.603794312773314,-5.601412272891766,-0.0006398787346059353,-0.000292860448282336,-0.00029284871031022845
46,0.046,4.905176183877513e-06,6.377276600726662e-05,-0.02800225935460448,-2.791455805442619e-05,-0.0016285186910494898,-7.068497992099949e-05,0.0,-0.0012779214853425582,0.0014862018315359965,0.0007430605402133013,0.0007431412913226951,0.48462853001290007,0.12452886734699799,0.35018773605339926,0.35018773605039377,-0.0001877360533992789,-0.00018773605039379415,34.451030380654586,34.45103038199613,34.451030380654586,34.45103038199613,0.0,0.0,1.0,1.0,5.603799030614909,-5.601405246742313,5.603799004603729,-5.60140527331419,4.908057631370846e-06,4.902294736384181e-06,0.0,0.0,0.12452886734699799,-0.12447567214982919,-5.324672855593993e-05,0.12452886676897176,-0.12447567274031533,-5.324672855593993e-05,5.603799030614909,-5.601405246742313,-0.0006389607426712791,5.603799004603729,-5.60140527331419,-0.0006389607426712791,-0.00032841293224555493,-0.00032840019844682593
