step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,0.001630566699840329,1.6352244069579306e-06,-0.028001574123511057,-1.1125414024906167e-06,-0.0016270890408865352,5.400037925990071e-07,0.0,-0.001370598006872471,0.002123875623678107,0.0010618910795811862,0.0010619845440969207,0.4846285173580555,0.12452628791128094,0.3501877235773882,0.350187723574425,-0.00018772357738822132,-0.00018772357442503607,34.451082792922854,34.451082794108125,34.451082792922854,34.451082794108125,0.0,0.0,1.0,1.0,5.603682956007642,-5.60153873893742,5.603682925023658,-5.601538770437693,3.4805797199106197e-06,3.4747381876772093e-06,0.0,0.0,0.12452628791128094,-0.12447863864305378,-5.710825028635295e-05,0.12452628722274794,-0.12447863934305985,-5.710825028635295e-05,5.603682956007642,-5.60153873893742,-0.0006852990034362355,5.603682925023658,-5.601538770437693,-0.0006852990034362355,-1.3088903992288235e-05,-1.3088540772196866e-05
6,0.006,0.0016305886142304847,9.86129967215111e-06,-0.028001595691559324,-6.3069022151220005e-06,-0.0016270785467902328,3.0609336383955246e-06,0.0,-0.0013580285516681648,0.0021065269777586224,0.0010532178179430568,0.0010533091598155656,0.48462851733449624,0.12452636426889385,0.350187723570076,0.35018772356711236,-0.00018772357007601492,-0.00018772356711238558,34.4510830494992,34.451083050695004,34.4510830494992,34.451083050695004,0.0,0.0,1.0,1.0,5.603686392100223,-5.601535381561043,5.603686361948658,-5.601535412231146,3.5129873994312658e-06,3.507147481072493e-06,0.0,0.0,0.12452636426889385,-0.12447856403468985,-5.658452298617353e-05,0.12452636359885907,-0.1244785647162477,-5.658452298617353e-05,5.603686392100223,-5.601535381561043,-0.0006790142758340824,5.603686361948658,-5.601535412231146,-0.0006790142758340824,-7.419991400296378e-05,-7.419778517637739e-05
11,0.011,0.0016306532991241236,1.8587681228925436e-05,-0.02800164042738309,-1.0656902754247872e-05,-0.0016270571969003679,5.0147969321489754e-06,0.0,-0.0013541032101688443,0.0020932343895669757,0.0010465724480633932,0.0010466619415035825,0.4846285173153056,0.12452642012282937,0.350187723575279,0.3501877235723141,-0.00018772357527901962,-0.00018772357231411352,34.45108251285053,34.45108251406446,34.45108251285053,34.45108251406446,0.0,0.0,1.0,1.0,5.603688905527322,-5.601532689960723,5.603688876102099,-5.601532719909356,3.599020181205765e-06,3.593184266305923e-06,0.0,0.0,0.12452642012282937,-0.1244785042213494,-5.642096709036851e-05,0.12452641946893554,-0.12447850488687458,-5.642096709036851e-05,5.603688905527322,-5.601532689960723,-0.0006770516050844221,5.603688876102099,-5.601532719909356,-0.0006770516050844221,-0.00012537722639395933,-0.00012537342664716708
16,0.016,0.0016307627135924714,2.7621146223919687e-05,-0.02800170591973187,-1.4715340541569421e-05,-0.0016270274515206608,6.522245895365694e-06,0.0,-0.0013542548183659534,0.0020833299230838824,0.001041621031646794,0.0010417088914370883,0.4846285173278065,0.12452646047947138,0.35018772362091394,0.3501877236179464,-0.0001877236209139599,-0.00018772361794644477,34.45108176451395,34.45108176574919,34.45108176451395,34.45108176574919,0.0,0.0,1.0,1.0,5.603690721576212,-5.601530627811916,5.603690692793793,-5.601530657123774,3.7381770042158812e-06,3.7323471394054567e-06,0.0,0.0,0.12452646047947138,-0.12447845839582035,-5.642728409858139e-05,0.12452645983986207,-0.12447845904719498,-5.642728409858139e-05,5.603690721576212,-5.601530627811916,-0.0006771274091829767,5.603690692793793,-5.601530657123774,-0.0006771274091829767,-0.00017312433884161048,-0.00017311896801884644
21,0.021,0.0016309180950188447,3.6863922903663366e-05,-0.02800179150244204,-1.8723495484458747e-05,-0.001626991276979595,7.669297494640327e-06,0.0,-0.0013564359059784336,0.002076310011840901,0.0010381118069570268,0.0010381982048838743,0.4846285173805984,0.12452648841898346,0.35018772371000906,0.3501877237070381,-0.00018772371000908006,-0.00018772370703812324,34.45108105086958,34.451081052127265,34.45108105086958,34.451081052127265,0.0,0.0,1.0,1.0,5.603691978854256,-5.601529136504993,5.6036919506475975,-5.6015291652475865,3.929729059501752e-06,3.92390701899763e-06,0.0,0.0,0.12452648841898346,-0.12447842525566652,-5.6518162749101396e-05,0.12452648779216884,-0.12447842589439082,-5.6518162749101396e-05,5.603691978854256,-5.601529136504993,-0.0006782179529892168,5.6036919506475975,-5.6015291652475865,-0.0006782179529892168,-0.00022027983740020618,-0.00022027299752823485
26,0.026000000000000002,0.001631120308927516,4.6262441208364926e-05,-0.028001897261922842,-2.2783974828535062e-05,-0.0016269502720975863,8.521986076051564e-06,0.0,-0.0013597308177779146,0.002071767228363993,0.0010358410765176007,0.0010359261518463924,0.4846285174725388,0.1245265060668401,0.35018772383581054,0.3501877238328342,-0.0001877238358105604,-0.000187723832834219,34.45108046983196,34.45108047111145,34.45108046983196,34.45108047111145,0.0,0.0,1.0,1.0,5.603692773007804,-5.601528152129108,5.603692745322302,-5.601528180356914,4.172943162437706e-06,4.167130497421461e-06,0.0,0.0,0.1245265060668401,-0.12447840338064683,-5.665545074074644e-05,0.12452650545160672,-0.12447840400793143,-5.665545074074644e-05,5.603692773007804,-5.601528152129108,-0.0006798654088889573,5.603692745322302,-5.601528180356914,-0.0006798654088889573,-0.0002680508662603763,-0.0002680426591169192
31,0.031,0.0016313698924774525,5.576377206214797e-05,-0.028002023576097906,-2.693087290097819e-05,-0.0016269055092542784,9.210821700822627e-06,0.0,-0.0013636923821064,0.0020689025851860516,0.001034409361531874,0.0010344932236541777,0.4846285175963866,0.12452649896519129,0.35018772398755343,0.35018772398457054,-0.00018772398755345643,-0.00018772398457056472,34.45108006956478,34.45108007086415,34.45108006956478,34.45108007086415,0.0,0.0,1.0,1.0,5.603692453433608,-5.601528338306704,5.603692426198356,-5.601528366091241,4.467284182742766e-06,4.461482263605697e-06,0.0,0.0,0.12452649896519129,-0.12447840751792674,-5.68205159211e-05,0.12452649835996348,-0.12447840813536092,-5.68205159211e-05,5.603692453433608,-5.601528338306704,-0.0006818461910532,5.603692426198356,-5.601528366091241,-0.0006818461910532,-0.00031683853822025363,-0.00031682905944982134
36,0.036000000000000004,0.0016316674054680986,6.536930972915e-05,-0.028002170941955083,-3.118443008924792e-05,-0.0016268579406136863,9.691878929431932e-06,0.0,-0.0013681879604451842,0.0020678391687094263,0.0010338782115332707,0.0010339609571761556,0.48462851774132504,0.12452650286808328,0.3501877241526136,0.35018772414962396,-0.00018772415261364417,-0.0001877241496239801,34.45107987136956,34.45107987268703,34.45107987136956,34.45107987268703,0.0,0.0,1.0,1.0,5.603692629063747,-5.601528097923699,5.603692602268384,-5.601528125273626,4.8123598334799434e-06,4.806569875344485e-06,0.0,0.0,0.12452650286808328,-0.1244784021760822,-5.700783168521601e-05,0.12452650227263076,-0.12447840278385836,-5.700783168521601e-05,5.603692629063747,-5.601528097923699,-0.0006840939802225921,5.603692602268384,-5.601528125273626,-0.0006840939802225921,-0.00036688097540654377,-0.00036687032081105425
41,0.041,0.0016320132976915171,7.506234337869922e-05,-0.02800233990884862,-3.554916642865455e-05,-0.0016268084930719416,1.000203948102318e-05,0.0,-0.0013731351704282411,0.0020684542602764115,0.0010341862740270826,0.001034267986249329,0.48462851789397504,0.12452650028291622,0.3501877243174148,0.35018772431441686,-0.00018772431741481688,-0.00018772431441688164,34.45107989737612,34.45107989870893,34.45107989737612,34.45107989870893,0.0,0.0,1.0,1.0,5.60369251273123,-5.601528222882955,5.6036924863428,-5.601528249830374,5.207693074226453e-06,5.201916164924662e-06,0.0,0.0,0.12452650028291622,-0.12447840495295455,-5.721396543451005e-05,0.12452649969650667,-0.12447840555178609,-5.721396543451005e-05,5.60369251273123,-5.601528222882955,-0.0006865675852141206,5.6036924863428,-5.601528249830374,-0.0006865675852141206,-0.00041823135629571583,-0.00041821961849615577
46,0.046,0.0016324079443806778,8.482878790005386e-05,-0.028002531032046297,-4.002447800248086e-05,-0.0016267579196763433,1.0174441934135333e-05,0.0,-0.001378486118055563,0.0020705279022524173,0.001035223575568338,0.0010353043266840792,0.484628518038609,0.1245264922583156,0.35018772446717694,0.35018772446417024,-0.000187724467176964,-0.000187724464170258,34.45108017309082,34.45108017443659,34.45108017309082,34.45108017443659,0.0,0.0,1.0,1.0,5.603692151624202,-5.601528674232264,5.603692125614018,-5.601528700805128,5.652906151602981e-06,5.647143257066109e-06,0.0,0.0,0.1245264922583156,-0.1244784149829392,-5.743692158564846e-05,0.12452649168031152,-0.12447841557344728,-5.743692158564846e-05,5.603692151624202,-5.601528674232264,-0.0006892430590277816,5.603692125614018,-5.601528700805128,-0.0006892430590277816,-0.0004708825786156508,-0.0004708698449721341
