step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,0.0016305830072703845,5.891427790242363e-06,-0.028001575484639694,-2.473670042061573e-06,-0.0016271053483165906,-1.5767426263001652e-05,0.0,-0.0013705980062579163,-0.0021238756258043926,-0.0010619845451600636,-0.001061891080644329,0.4846285173808328,0.1245447589566928,0.3501877235773882,0.350187723574425,-0.00018772357738822132,-0.00018772357442503607,34.451082792922854,34.451082794108125,34.451082792922854,34.451082794108125,0.0,0.0,1.0,1.0,5.604514153051176,-5.600706382331097,5.604514122065105,-5.600706413829279,3.4805797199106197e-06,3.4747381876772093e-06,0.0,0.0,0.1245447589566928,-0.12446014182957994,-5.710825026074651e-05,0.12454475826811344,-0.12446014252953953,-5.710825026074651e-05,5.604514153051176,-5.600706382331097,-0.0006852990031289581,5.604514122065105,-5.600706413829279,-0.0006852990031289581,-2.910218212862175e-05,-2.9101818861062316e-05
6,0.006,0.0016307576891113791,3.667532190705701e-05,-0.02800162944115165,-1.673539374192467e-05,-0.001627433984907852,-0.00010036452162679526,0.0,-0.0014017528443368928,-0.002726029524591371,-0.001363060433252499,-0.001362969091338872,0.4846285178324132,0.1245473592031437,0.35018772375332785,0.3501877237503645,-0.00018772375332787306,-0.00018772375036452127,34.45107776701872,34.45107776820574,34.45107776701872,34.45107776820574,0.0,0.0,1.0,1.0,5.604631164141467,-5.600587572187504,5.604631133986083,-5.600587602853817,3.326624162666103e-06,3.320784244388069e-06,0.0,0.0,0.1245473592031437,-0.12445750160416674,-5.84063685140372e-05,0.12454735853302407,-0.12445750228564037,-5.84063685140372e-05,5.604631164141467,-5.600587572187504,-0.0007008764221684464,5.604631133986083,-5.600587602853817,-0.0007008764221684464,-0.00019688804976436588,-0.00019688592063386165
11,0.011,0.0016311018849654887,6.998352218786928e-05,-0.02800176318242763,-3.377112344205875e-05,-0.0016282170867722438,-0.00019564567637318366,0.0,-0.001427687183086515,-0.0034159574245309797,-0.0017080234589992868,-0.0017079339655316928,0.4846285188570296,0.12455033474687285,0.35018772430497314,0.35018772430200945,-0.00018772430497315806,-0.0001877243020094732,34.45107097535972,34.45107097655487,34.45107097535972,34.45107097655487,0.0,0.0,1.0,1.0,5.604765063609278,-5.600451275393428,5.60476503417828,-5.600451305336309,2.887716151088072e-06,2.881880235401779e-06,0.0,0.0,0.12455033474687285,-0.12445447278652061,-5.948696596193813e-05,0.12455033409285067,-0.12445447345191797,-5.948696596193813e-05,5.604765063609278,-5.600451275393428,-0.0007138435915432575,5.60476503417828,-5.600451305336309,-0.0007138435915432575,-0.0003973092348520038,-0.0003973054343729079
16,0.016,0.0016316304221829895,0.00010615773762850711,-0.02800198978873769,-5.3358050525941984e-05,-0.001629512563818118,-0.0003031321033039593,0.0,-0.0014519097450948993,-0.004205816906283426,-0.002102952383154955,-0.002102864523128471,0.4846285204667033,0.12455373924477584,0.3501877253215701,0.3501877253186055,-0.00018772532157013133,-0.0001877253186055028,34.451062636703035,34.451062637908514,34.451062636703035,34.451062637908514,0.0,0.0,1.0,1.0,5.604918266014913,-5.600295145220587,5.604918237224467,-5.600295174524607,2.120773297467707e-06,2.1149434322756036e-06,0.0,0.0,0.12455373924477584,-0.12445100322712414,-6.049623937895414e-05,0.12455373860498817,-0.12445100387832461,-6.049623937895414e-05,5.604918266014913,-5.600295145220587,-0.0007259548725474497,5.604918237224467,-5.600295174524607,-0.0007259548725474497,-0.000627744456820675,-0.0006277390849661951
21,0.021,0.00163236004856183,0.00014555043162741555,-0.02800232198585468,-7.551017290402534e-05,-0.00163138652241224,-0.00042454601186803085,0.0,-0.0014763511303079342,-0.005109387383737009,-0.002554736890997098,-0.0025546504927399113,0.484628522681739,0.12455763316874245,0.350187726881608,0.35018772687864175,-0.000187726881608008,-0.00018772687864176962,34.45105290410422,34.45105290531959,34.45105290410422,34.45105290531959,0.0,0.0,1.0,1.0,5.605093492593411,-5.600116506453757,5.605093464376204,-5.6001165351860696,9.764371701847938e-07,9.706151289950425e-07,0.0,0.0,0.12455763316874245,-0.12444703347675015,-6.151463042949726e-05,0.12455763254169343,-0.12444703411524599,-6.151463042949726e-05,5.605093492593411,-5.600116506453757,-0.000738175565153967,5.605093464376204,-5.6001165351860696,-0.000738175565153967,-0.0008883583960230671,-0.0008883515546598819
26,0.026000000000000002,0.001633309565918398,0.00018854718533397707,-0.028002773032654776,-0.00010038737990413093,-0.0016339143654679567,-0.0005618425242268782,0.0,-0.0015021199942667296,-0.006142357196479284,-0.0030712211361034083,-0.003071136060375876,0.4846285255307925,0.12456208513241178,0.3501877290534516,0.3501877290504832,-0.00018772905345160185,-0.00018772905048319855,34.45104188659869,34.45104188782166,34.45104188659869,34.45104188782166,0.0,0.0,1.0,1.0,5.60529383095853,-5.599912302660332,5.6052938032596344,-5.599912330875068,-6.018932164791312e-07,-6.077058826381768e-07,0.0,0.0,0.12456208513241178,-0.12444249561467405,-6.258833309444706e-05,0.12456208451688076,-0.12444249624166817,-6.258833309444706e-05,5.60529383095853,-5.599912302660332,-0.0007510599971333647,5.6052938032596344,-5.599912330875068,-0.0007510599971333647,-0.0011810321034783796,-0.0011810238942658777
31,0.031,0.0016345016663028102,0.00023585741042257723,-0.02800335759725648,-0.00012835551687124283,-0.001637185198980874,-0.0007183069829986802,0.0,-0.0015303285195497956,-0.007328678742393809,-0.003664381302594827,-0.0036642974397989815,0.48462852905207743,0.12456742416640064,0.35018773189796587,0.35018773189499536,-0.00018773189796589262,-0.0001877318949953799,34.45102967294459,34.45102967417151,34.45102967294459,34.45102967417151,0.0,0.0,1.0,1.0,5.605534087488029,-5.599667253628029,5.605534060235762,-5.599667281396094,-2.6806317169453625e-06,-2.6864336391824907e-06,0.0,0.0,0.12456742416640064,-0.12443705008062286,-6.376368831457482e-05,0.1245674235607947,-0.12443705069769098,-6.376368831457482e-05,5.605534087488029,-5.599667253628029,-0.0007651642597748978,5.605534060235762,-5.599667281396094,-0.0007651642597748978,-0.001510069645164999,-0.0015100601635701261
36,0.036000000000000004,0.0016359599944847038,0.0002877311212490768,-0.028004091959668496,-0.00015969085043831204,-0.0016412995643479576,-0.0008955364087620465,0.0,-0.0015609928484570858,-0.008685091615536628,-0.004342587180805961,-0.004342504434730667,0.48462853329726263,0.12457327333177766,0.3501877354773264,0.35018773547435345,-0.00018773547732642282,-0.0001877354743534676,34.451016099412,34.45101610063855,34.451016099412,34.45101610063855,0.0,0.0,1.0,1.0,5.6057972999299945,-5.59939925353888,5.60579727311404,-5.599399280868572,-5.336674883642194e-06,-5.3424648428657035e-06,0.0,0.0,0.12457327333177766,-0.12443109452308622,-6.504136868571191e-05,0.12457327273586755,-0.12443109513041271,-6.504136868571191e-05,5.6057972999299945,-5.59939925353888,-0.000780496424228543,5.60579727311404,-5.599399280868572,-0.000780496424228543,-0.001878721216439799,-0.0018787105585793074
41,0.041,0.001637711383917714,0.00034474359856821995,-0.02800499412325858,-0.0001947925769270098,-0.0016463698272765723,-0.0010964275907736048,0.0,-0.0015944486881073648,-0.010233466907104749,-0.005116774309996755,-0.005116692597107994,0.48462853833408703,0.12457995159695244,0.3501877398648417,0.3501877398618664,-0.00018773986484171834,-0.00018773986186643166,34.45100096800731,34.451000969228765,34.45100096800731,34.451000969228765,0.0,0.0,1.0,1.0,5.60609782186286,-5.599093384493596,5.606097795449663,-5.599093411416793,-8.655554902413769e-06,-8.66133181530252e-06,0.0,0.0,0.12457995159695244,-0.12442429743319103,-6.643536200447353e-05,0.1245799510099925,-0.12442429803148429,-6.643536200447353e-05,5.60609782186286,-5.599093384493596,-0.0007972243440536823,5.606097795449663,-5.599093411416793,-0.0007972243440536823,-0.0022916832466852153,-0.002291671504538544
46,0.046,0.0016397861077081315,0.00040755430466781883,-0.02800608431162511,-0.00023413451611019296,-0.0016525240160399155,-0.0013242772325447018,0.0,-0.0016310953753687647,-0.012000321361304921,-0.0060002010566476685,-0.006000120304657253,0.4846285442486966,0.12458757328050264,0.3501877451465993,0.35018774514362255,-0.0001877451465993052,-0.00018774514362257522,34.450984005691616,34.45098400690285,34.450984005691616,34.45098400690285,0.0,0.0,1.0,1.0,5.606440797622619,-5.598744406061263,5.606440771582946,-5.598744432605352,-1.2735026882268925e-05,-1.2740789781298937e-05,0.0,0.0,0.12458757328050264,-0.12441654235691695,-6.796230730703186e-05,0.12458757270184324,-0.12441654294678561,-6.796230730703186e-05,5.606440797622619,-5.598744406061263,-0.0008155476876843823,5.606440771582946,-5.598744432605352,-0.0008155476876843823,-0.0027545300884045214,-0.0027545173494823716
