step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,3.4776589537939145e-06,1.3230719369933883e-06,-0.02800157389403798,-8.830683259015829e-07,-0.00162709047064539,-8.897550622964418e-07,0.0,-0.0013402127529680986,0.0017649740518671346,0.0008824402936757,0.0008825337581914346,0.48462851736513035,0.12452784856934258,0.3501877235773882,0.350187723574425,-0.00018772357738822132,-0.00018772357442503607,34.451082792922854,34.451082794108125,34.451082792922854,34.451082794108125,0.0,0.0,1.0,1.0,5.603753185620416,-5.601468411350711,5.603753154636255,-5.601468442850807,3.4805797199106197e-06,3.4747381876772093e-06,0.0,0.0,0.12452784856934258,-0.12447707580779359,-5.5842198040337444e-05,0.12452784788080568,-0.12447707650779571,-5.5842198040337444e-05,5.603753185620416,-5.601468411350711,-0.0006701063764840493,5.603753154636255,-5.601468442850807,-0.0006701063764840493,-1.0389220739800169e-05,-1.0388857516707664e-05
6,0.006,3.4975210295071783e-06,8.091960556007856e-06,-0.02800159135721093,-5.116638376366257e-06,-0.0016271083285068252,-5.33844358849254e-06,0.0,-0.0013259686323286888,0.0017825539218551795,0.0008912312899416982,0.0008913226319134813,0.484628517486546,0.12452776239373041,0.3501877236787044,0.35018772367574075,-0.000187723678704399,-0.00018772367574076965,34.45108010358276,34.45108010477801,34.45108010358276,34.45108010477801,0.0,0.0,1.0,1.0,5.603749307717869,-5.601471419344472,5.603749277566015,-5.601471450014364,3.5004409886460824e-06,3.494601070368274e-06,0.0,0.0,0.12452776239373041,-0.12447714265209939,-5.524869301369537e-05,0.12452776172368922,-0.12447714333365252,-5.524869301369537e-05,5.603749307717869,-5.601471419344472,-0.0006629843161643444,5.603749277566015,-5.601471450014364,-0.0006629843161643444,-6.019681001087753e-05,-6.019468119774027e-05
11,0.011,3.55272665170918e-06,1.5536808684254474e-05,-0.028001627742737567,-8.729959381334308e-06,-0.0016271479900630912,-9.632936212409906e-06,0.0,-0.0013264298369309313,0.001798310108795016,0.0008991103076632636,0.0008991998011317523,0.484628517798993,0.12452768045367352,0.3501877239815568,0.35018772397859205,-0.0001877239815568088,-0.00018772397859206924,34.45107639185111,34.451076393063964,34.45107639185111,34.451076393063964,0.0,0.0,1.0,1.0,5.603745620415308,-5.601473903707291,5.603745590989754,-5.601473933655617,3.5556446092747887e-06,3.549808694143572e-06,0.0,0.0,0.12452768045367352,-0.12447719786016201,-5.5267909872122135e-05,0.1245276797997723,-0.12447719852568039,-5.5267909872122135e-05,5.603745620415308,-5.601473903707291,-0.0006632149184654657,5.603745590989754,-5.601473933655617,-0.0006632149184654657,-0.00010270730440520843,-0.0001027035045673635
16,0.016,3.645867683727695e-06,2.3322646697071387e-05,-0.028001682452859694,-1.2436741066778444e-05,-0.0016272084921179594,-1.3719702773399879e-05,0.0,-0.0013284517427070955,0.001812567535406625,0.0009062398377147554,0.0009063276976918696,0.4846285183130884,0.12452760560990546,0.3501877245003958,0.35018772449742874,-0.0001877245003958361,-0.00018772449742876507,34.45107284004328,34.45107284127723,34.45107284004328,34.45107284127723,0.0,0.0,1.0,1.0,5.603742252445746,-5.60147612034317,5.603742223662912,-5.6014761496547605,3.6487826160070784e-06,3.6429527514483124e-06,0.0,0.0,0.12452760560990546,-0.12447724711873712,-5.535215594612898e-05,0.12452760497028693,-0.12447724777010578,-5.535215594612898e-05,5.603742252445746,-5.60147612034317,-0.0006642258713535478,5.603742223662912,-5.6014761496547605,-0.0006642258713535478,-0.0001463172861843286,-0.0001463119153869289
21,0.021,3.778501718659316e-06,3.1381091349226255e-05,-0.028001756099281523,-1.627740009561448e-05,-0.0016272888587711837,-1.7619775028397757e-05,0.0,-0.0013311470224969895,0.0018255659075509393,0.0009127397547953225,0.0009128261527556168,0.4846285190182645,0.12452753715467468,0.35018772521660235,0.3501877252136313,-0.00018772521660237462,-0.0001877252136313068,34.45106954077214,34.45106954202827,34.45106954077214,34.45106954202827,0.0,0.0,1.0,1.0,5.603739171960361,-5.60147813128873,5.603739143753312,-5.601478160030964,3.781412738780591e-06,3.7755906985380407e-06,0.0,0.0,0.12452753715467468,-0.12447729180641623,-5.546445927070789e-05,0.12452753652785138,-0.12447729244513253,-5.546445927070789e-05,5.603739171960361,-5.60147813128873,-0.0006655735112484947,5.603739143753312,-5.601478160030964,-0.0006655735112484947,-0.00019150224459766753,-0.00019149540471090836
26,0.026000000000000002,3.951900068257558e-06,3.9667814198193084e-05,-0.028001849345186524,-2.0249468609972246e-05,-0.0016273882236220467,-2.135506730955987e-05,0.0,-0.0013344262706906783,0.0018375053613973805,0.0009187101429628985,0.000918795218434482,0.48462851989871203,0.12452747431084457,0.3501877261087376,0.35018772610576243,-0.00018772610873762918,-0.00018772610576245352,34.451066519842435,34.45106652112007,34.451066519842435,34.45106652112007,0.0,0.0,1.0,1.0,5.603736343988006,-5.601479979962761,5.603736316302028,-5.601480008190206,3.954806401064784e-06,3.948993735450332e-06,0.0,0.0,0.12452747431084457,-0.12447733288806136,-5.5601094612111594e-05,0.12452747369560062,-0.12447733351533792,-5.5601094612111594e-05,5.603736343988006,-5.601479979962761,-0.0006672131353453392,5.603736316302028,-5.601480008190206,-0.0006672131353453392,-0.00023823314602375358,-0.00023822493891676984
31,0.031,4.167156123223784e-06,4.815935059982488e-05,-0.028001962829162712,-2.4347033374095418e-05,-0.0016275057628769506,-2.492554289043627e-05,0.0,-0.0013382790293047131,0.0018484347964697711,0.0009241754671513433,0.0009242593293184279,0.48462852093343106,0.12452741111285462,0.35018772715321383,0.35018772715023166,-0.0001877271532138569,-0.00018772715023168685,34.45106383761393,34.45106383891129,34.45106383761393,34.45106383891129,0.0,0.0,1.0,1.0,5.603733500078458,-5.601481812231904,5.603733472842735,-5.601481840016009,4.170057083282545e-06,4.164255163165023e-06,0.0,0.0,0.12452741111285462,-0.12447737360515342,-5.576162622102971e-05,0.12452741050761633,-0.12447737422257799,-5.576162622102971e-05,5.603733500078458,-5.601481812231904,-0.0006691395146523566,5.603733472842735,-5.601481840016009,-0.0006691395146523566,-0.00028644042620244123,-0.00028643094730568616
36,0.036000000000000004,4.425194143146376e-06,5.680736428636431e-05,-0.02800209717405824,-2.8568308935368344e-05,-0.0016276407657456243,-2.8368338094920235e-05,0.0,-0.0013426378584192144,0.0018586054942721433,0.0009292613743363497,0.0009293441199357936,0.48462852209907886,0.12452735840536928,0.3501877283249357,0.3501877283219465,-0.0001877283249357431,-0.0001877283219465231,34.45106149282349,34.451061494138614,34.45106149282349,34.451061494138614,0.0,0.0,1.0,1.0,5.603731128241618,-5.601483424201586,5.603731101445768,-5.6014834515509975,4.428089121467919e-06,4.422299164824833e-06,0.0,0.0,0.12452735840536928,-0.12447740942670191,-5.5943244100800604e-05,0.12452735780990595,-0.1244774100344666,-5.5943244100800604e-05,5.603731128241618,-5.601483424201586,-0.0006713189292096072,5.603731101445768,-5.6014834515509975,-0.0006713189292096072,-0.0003361030794220927,-0.0003360924249395154
41,0.041,4.7267407197310724e-06,6.558481807113626e-05,-0.028002252984426313,-3.2908774901077486e-05,-0.0016277926357720278,-3.1697065894589574e-05,0.0,-0.0013474867241507725,0.0018681704341359758,0.000934044360970466,0.0009341260731655099,0.4846285233709645,0.12452730962144609,0.35018772959940603,0.35018772959640876,-0.00018772959940605016,-0.00018772959640878106,34.45105950464663,34.45105950597698,34.45105950464663,34.45105950597698,0.0,0.0,1.0,1.0,5.603728932965074,-5.60148497543424,5.603728906576139,-5.601485002381136,4.7296291743800744e-06,4.7238522650820705e-06,0.0,0.0,0.12452730962144609,-0.12447744389853867,-5.614528017294885e-05,0.1245273090350253,-0.12447744449735856,-5.614528017294885e-05,5.603728932965074,-5.60148497543424,-0.0006737433620753863,5.603728906576139,-5.601485002381136,-0.0006737433620753863,-0.00038716792665321483,-0.00038715618866625535
46,0.046,5.072395703316814e-06,7.44686880133565e-05,-0.028002430845150732,-3.736485778788823e-05,-0.0016279608364626991,-3.4922771265089225e-05,0.0,-0.0013528107025036489,0.0018772294238692346,0.0009385743363694551,0.0009386550874997795,0.4846285247224197,0.12452726443313511,0.35018773095092737,0.3501877309479216,-0.00018773095092738945,-0.00018773094792162714,34.45105790243568,34.45105790377876,34.45105790243568,34.45105790377876,0.0,0.0,1.0,1.0,5.60372689949108,-5.601486490261713,5.60372687348034,-5.601486516834038,5.075277150534378e-06,5.069514256099251e-06,0.0,0.0,0.12452726443313511,-0.12447747756137141,-5.63671126043187e-05,0.12452726385511866,-0.12447747815186752,-5.63671126043187e-05,5.60372689949108,-5.601486490261713,-0.0006764053512518244,5.60372687348034,-5.601486516834038,-0.0006764053512518244,-0.0004395929290528282,-0.0004395801953680712
