step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,5.554179000973286e-05,1.2887456731734033e-06,-0.028093465928463738,-8.569256558709805e-07,-0.0012949479867333763,-8.675302072553409e-07,0.0,-0.0013649245856120614,0.0006317624291828993,0.0006317158225961083,0.0006318090357696903,0.4846284308864902,0.12452246853844717,0.3501876135395601,0.35018761353651107,-0.0001876135395601497,-0.0001876135365110887,34.451126808054084,34.4511268092737,34.451126808054084,34.4511268092737,0.0,0.0,1.0,1.0,5.603511084230123,-5.601735178899551,5.603511053341162,-5.6017352103268365,5.5544702921407294e-05,5.553887709805842e-05,0.0,0.0,0.12452246853844717,-0.12448300397554557,-5.6871857733835894e-05,0.12452246785202582,-0.1244830046739297,-5.6871857733835894e-05,5.603511084230123,-5.601735178899551,-0.0006824622928060307,5.603511053341162,-5.6017352103268365,-0.0006824622928060307,-1.0081659452914827e-05,-1.0081297155814124e-05
6,0.006,5.556116440254181e-05,7.991614962991392e-06,-0.028093482561725697,-4.600756071307196e-06,-0.0012949656284833115,-5.424732518815091e-06,0.0,-0.0013145597781723181,0.0006208038516514059,0.0006207583035608631,0.0006208493997419488,0.48462843105235237,0.1245225518525476,0.35018761366385004,0.35018761366080053,-0.0001876136638500614,-0.0001876136608005563,34.451123488856204,34.451123490084974,34.451123488856204,34.451123490084974,0.0,0.0,1.0,1.0,5.603514833364642,-5.601730345629606,5.6035148033058,-5.601730376228846,5.556407650937797e-05,5.5558252295705655e-05,0.0,0.0,0.1245225518525476,-0.1244828965695468,-5.4773324090513255e-05,0.12452255118457334,-0.12448289724952992,-5.4773324090513255e-05,5.603514833364642,-5.601730345629606,-0.0006572798890861591,5.6035148033058,-5.601730376228846,-0.0006572798890861591,-5.412760356934827e-05,-5.412548046140927e-05
11,0.011,5.5616592171120744e-05,1.575965801229041e-05,-0.02809351073013137,-6.352019613617973e-06,-0.0012950088489987587,-1.0869036856553334e-05,0.0,-0.0013095691634443455,0.0006101728455137752,0.0006101282190944723,0.000610217471933078,0.4846284315789532,0.12452261767681902,0.3501876141417976,0.35018761413874716,-0.0001876141417976318,-0.00018761413874718302,34.45111611897568,34.45111612022161,34.45111611897568,34.45111612022161,0.0,0.0,1.0,1.0,5.603517795456856,-5.601724982051841,5.603517766122319,-5.601725011931566,5.561950228181071e-05,5.5613682060430776e-05,0.0,0.0,0.12452261767681902,-0.1244827773789298,-5.4565381810181064e-05,0.12452261702494043,-0.1244827780429237,-5.4565381810181064e-05,5.603517795456856,-5.601724982051841,-0.0006547845817221728,5.603517766122319,-5.601725011931566,-0.0006547845817221728,-7.473153737568583e-05,-7.472774765061938e-05
16,0.016,5.571118780614066e-05,2.369348145534821e-05,-0.028093548253519344,-8.282431566761673e-06,-0.0012950810602457387,-1.6907685970434002e-05,0.0,-0.0013029096220859408,0.0005987640540328598,0.0005987202421661015,0.0005988078658996181,0.48462843253835586,0.12452268934107152,0.35018761507318535,0.3501876150701325,-0.0001876150731853765,-0.00018761507013254075,34.45110849281446,34.451108494080884,34.45110849281446,34.451108494080884,0.0,0.0,1.0,1.0,5.603521020348219,-5.6017192719954485,5.6035209916546735,-5.601719301240148,5.57140948997828e-05,5.570828071249851e-05,0.0,0.0,0.12452268934107152,-0.12448265048878775,-5.428790092024753e-05,0.12452268870343719,-0.12448265113866995,-5.428790092024753e-05,5.603521020348219,-5.6017192719954485,-0.0006514548110429704,5.6035209916546735,-5.601719301240148,-0.0006514548110429704,-9.744304964193738e-05,-9.74376931053961e-05
21,0.021,5.584581088846531e-05,3.1799319523499495e-05,-0.028093595632472,-1.0281930023143877e-05,-0.0012951853372905405,-2.3572061736695224e-05,0.0,-0.0012969747445915982,0.0005867335019586066,0.0005866904191169041,0.0005867765848003091,0.4846284339564706,0.1245227649340236,0.35018761646868146,0.35018761646562485,-0.00018761646868148407,-0.00018761646562487355,34.45110045712186,34.451100458409805,34.45110045712186,34.451100458409805,0.0,0.0,1.0,1.0,5.603524422031062,-5.601713251688243,5.603524393911719,-5.60171328036511,5.584871408044406e-05,5.5842907696486555e-05,0.0,0.0,0.1245227649340236,-0.12448251670418317,-5.404061435798326e-05,0.12452276430914933,-0.12448251734144689,-5.404061435798326e-05,5.603524422031062,-5.601713251688243,-0.0006484873722957991,5.603524393911719,-5.60171328036511,-0.0006484873722957991,-0.000120967293421975,-0.00012096047182846914
26,0.026000000000000002,5.6021250822336545e-05,4.004340513020531e-05,-0.028093653236314454,-1.2357318868739668e-05,-0.0012953248417586927,-3.087285728428162e-05,0.0,-0.001291618988978313,0.0005741579403458236,0.0005741155170517627,0.0005742003636398846,0.4846284358530818,0.12452284401284525,0.3501876183398354,0.35018761833677403,-0.00018761833983543807,-0.0001876183367740536,34.45109207412094,34.451092075429735,34.45109207412094,34.451092075429735,0.0,0.0,1.0,1.0,5.603527980578036,-5.601706961327638,5.603527952978396,-5.601706989491007,5.602414933943503e-05,5.601835230523807e-05,0.0,0.0,0.12452284401284525,-0.12448237691839195,-5.381745787409637e-05,0.12452284339951993,-0.12448237754424461,-5.381745787409637e-05,5.603527980578036,-5.601706961327638,-0.0006458094944891564,5.603527952978396,-5.601706989491007,-0.0006458094944891564,-0.00014538431466725637,-0.00014537612930308873
31,0.031,5.623816281317161e-05,4.840813235527317e-05,-0.028093721442998303,-1.4508193853371807e-05,-0.0012955027445895415,-3.880625530919117e-05,0.0,-0.0012868391510310758,0.0005610565945134055,0.000561014776118324,0.000561098412908487,0.48462843823762125,0.12452292088366704,0.350187620692168,0.3501876206891008,-0.00018762069216804456,-0.0001876206891008314,34.45108346789722,34.45108346922529,34.45108346789722,34.45108346922529,0.0,0.0,1.0,1.0,5.603531439765017,-5.601700420059108,5.603531412614261,-5.601700447780363,5.624105597229059e-05,5.623526965405263e-05,0.0,0.0,0.12452292088366704,-0.12448223155686906,-5.3618297959628156e-05,0.12452292028031692,-0.12448223217289696,-5.3618297959628156e-05,5.603531439765017,-5.601700420059108,-0.0006434195755155379,5.603531412614261,-5.601700447780363,-0.0006434195755155379,-0.00017068936036272704,-0.00017067990677543308
36,0.036000000000000004,5.6497080220538035e-05,5.6859600622193276e-05,-0.02809380063590902,-1.6736473591358967e-05,-0.0012957222708643121,-4.739241005961772e-05,0.0,-0.00128261439902358,0.0005475245268396906,0.0005474832653838188,0.0005475657882955623,0.48462844111421094,0.12452300668106528,0.3501876235266691,0.35018762352359495,-0.00018762352666912285,-0.0001876235235949708,34.451074641614454,34.451074642959554,34.451074641614454,34.451074642959554,0.0,0.0,1.0,1.0,5.603535300647938,-5.60169368278713,5.603535273935935,-5.60169371007468,5.649996741407264e-05,5.649419302700343e-05,0.0,0.0,0.12452300668106528,-0.124482081839714,-5.3442266625982503e-05,0.12452300608746522,-0.124482082446104,-5.3442266625982503e-05,5.603535300647938,-5.60169368278713,-0.00064130719951179,5.603535273935935,-5.60169371007468,-0.00064130719951179,-0.00019690500234293426,-0.00019689437627727673
41,0.041,5.679839576345225e-05,6.537792651517352e-05,-0.028093891203746998,-1.9042720354222332e-05,-0.0012959866968254505,-5.6635170871767516e-05,0.0,-0.0012789346361934957,0.0005336176128657819,0.0005335768665819176,0.0005336583591496462,0.4846284444829896,0.12452309512359362,0.3501876268436293,0.3501876268405472,-0.00018762684362932935,-0.00018762684054723922,34.45106564497991,34.45106564633997,34.45106564497991,34.45106564633997,0.0,0.0,1.0,1.0,5.603539280561713,-5.6016867709211455,5.60353925425543,-5.6016867978073845,5.680127645093016e-05,5.6795515075974345e-05,0.0,0.0,0.12452309512359362,-0.12448192824269212,-5.328894317472899e-05,0.12452309453900955,-0.1244819288401641,-5.328894317472899e-05,5.603539280561713,-5.6016867709211455,-0.0006394673180967478,5.60353925425543,-5.6016867978073845,-0.0006394673180967478,-0.00022403785751619603,-0.000224026150818447
46,0.046,5.714240876916758e-05,7.39460849169777e-05,-0.028093993537999632,-2.1427488790784706e-05,-0.0012962993113011451,-6.65362750478133e-05,0.0,-0.0012757908652961322,0.0005193704006712497,0.000519330133636928,0.0005194106677055713,0.48462844833862917,0.12452318615990335,0.3501876306390839,0.35018763063599373,-0.00018763063908394662,-0.00018763063599375185,34.45105654693892,34.45105654831148,34.45105654693892,34.45105654831148,0.0,0.0,1.0,1.0,5.603543377195651,-5.6016797092107415,5.603543351266564,-5.6016797357234225,5.7145282468134314e-05,5.7139535070200844e-05,0.0,0.0,0.12452318615990335,-0.12448177131579426,-5.3157952720672176e-05,0.12452318558370143,-0.12448177190496494,-5.3157952720672176e-05,5.603543377195651,-5.6016797092107415,-0.0006378954326480661,5.603543351266564,-5.6016797357234225,-0.0006378954326480661,-0.00025209445331777586,-0.0002520817535242171
