step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,3.4776589537939145e-06,1.3230719369933883e-06,-0.02800157389403798,-8.830683259015829e-07,-0.00162709047064539,-8.897550622964418e-07,0.0,-0.0013402127529680986,0.0017649740518671346,0.0008824402936757,0.0008825337581914346,0.48462851736513035,0.12452784856934258,0.3501877235773882,0.350187723574425,-0.00018772357738822132,-0.00018772357442503607,34.451082792922854,34.451082794108125,34.451082792922854,34.451082794108125,0.0,0.0,1.0,1.0,5.603753185620416,-5.601468411350711,5.603753154636255,-5.601468442850807,3.4805797199106197e-06,3.4747381876772093e-06,0.0,0.0,0.12452784856934258,-0.12447707580779359,-5.5842198040337444e-05,0.12452784788080568,-0.12447707650779571,-5.5842198040337444e-05,5.603753185620416,-5.601468411350711,-0.0006701063764840493,5.603753154636255,-5.601468442850807,-0.0006701063764840493,-1.0389220739800169e-05,-1.0388857516707664e-05
6,0.006,3.4975210295071783e-06,8.14346455983965e-06,-0.02800159094606566,-4.7054931023775224e-06,-0.001627108603067303,-5.613004066428054e-06,0.0,-0.001288157027368709,0.0017278625402268079,0.0008638855991275124,0.0008639769410992955,0.48462851749324837,0.12452800021532925,0.3501877236787044,0.35018772367574075,-0.000187723678704399,-0.00018772367574076965,34.45108010358276,34.45108010477801,34.45108010358276,34.45108010477801,0.0,0.0,1.0,1.0,5.603760009689816,-5.60146070244272,5.603759979537936,-5.601460733112585,3.5004409886460824e-06,3.494601070368274e-06,0.0,0.0,0.12452800021532925,-0.12447690449872711,-5.367320947369621e-05,0.12452799954528747,-0.12447690518027966,-5.367320947369621e-05,5.603760009689816,-5.60146070244272,-0.0006440785136843545,5.603759979537936,-5.601460733112585,-0.0006440785136843545,-5.535980678717669e-05,-5.5357677974647355e-05
11,0.011,3.5536349160918245e-06,1.5836886139109264e-05,-0.02800161960034884,-6.446811919622869e-06,-0.0016271540145130548,-1.1501342927781087e-05,0.0,-0.0012836900279899854,0.0016950695017448783,0.0008474900042272199,0.0008475794975176584,0.48462851794159284,0.12452811815757558,0.3501877240979585,0.3501877240949937,-0.0001877240979585304,-0.00018772409499373532,34.45107328506623,34.45107328627902,34.45107328506623,34.45107328627902,0.0,0.0,1.0,1.0,5.603765317090901,-5.601453168366431,5.603765287665355,-5.601453198314626,3.556552873656459e-06,3.5507169585271895e-06,0.0,0.0,0.12452811815757558,-0.12447673707480958,-5.3487084499582724e-05,0.12452811750367455,-0.12447673774032503,-5.3487084499582724e-05,5.603765317090901,-5.601453168366431,-0.0006418450139949927,5.603765287665355,-5.601453198314626,-0.0006418450139949927,-7.584674600632883e-05,-7.58429462200916e-05
16,0.016,3.6481680056539475e-06,2.3515370498285962e-05,-0.028001657619713086,-8.385690489008423e-06,-0.0016272312436237226,-1.8181845574323987e-05,0.0,-0.001277336712389006,0.0016623409816342077,0.0008311265608341642,0.0008312144208000435,0.48462851878537727,0.12452823511845333,0.3501877249354645,0.35018772493249734,-0.0001877249354645394,-0.00018772493249735733,34.45106627241956,34.45106627365364,34.45106627241956,34.45106627365364,0.0,0.0,1.0,1.0,5.6037705803304,-5.601445615328418,5.603770551547514,-5.601445644639951,3.6510829380485873e-06,3.6452530732593077e-06,0.0,0.0,0.12452823511845333,-0.12447656922952038,-5.3222363016208585e-05,0.12452823447883365,-0.1244765698808878,-5.3222363016208585e-05,5.6037705803304,-5.601445615328418,-0.000638668356194503,5.603770551547514,-5.601445644639951,-0.000638668356194503,-9.865786763853632e-05,-9.865249680872069e-05
21,0.021,3.7811464246144148e-06,3.121849891128185e-05,-0.028001705565885434,-1.0403205766755812e-05,-0.001627344256470079,-2.565367683908898e-05,0.0,-0.0012716615221345007,0.001629759106879946,0.000814836354441122,0.0008149227524388241,0.4846285200524796,0.12452835000665549,0.35018772620085176,0.3501877261978809,-0.00018772620085177882,-0.00018772619788093303,34.45105886259363,34.45105886384963,34.45105886259363,34.45105886384963,0.0,0.0,1.0,1.0,5.603775750299497,-5.601438026418161,5.6037757220923154,-5.601438055160293,3.784057444925646e-06,3.7782354043031838e-06,0.0,0.0,0.12452835000665549,-0.12447640058707024,-5.29858967556042e-05,0.12452834937982923,-0.1244764012257843,-5.29858967556042e-05,5.603775750299497,-5.601438026418161,-0.0006358307610672503,5.6037757220923154,-5.601438055160293,-0.0006358307610672503,-0.00012239407601282636,-0.00012238723614613393
26,0.026000000000000002,3.952675231096129e-06,3.893777736238101e-05,-0.028001763853154876,-1.2505171385293808e-05,-0.0016274969552854373,-3.389910554086158e-05,0.0,-0.0012665184170684955,0.0015972175600571948,0.0007985662423922276,0.0007986513176649672,0.4846285217651759,0.12452846342412292,0.35018772790672864,0.35018772790375263,-0.00018772790672866302,-0.0001877279037526547,34.45105109425302,34.45105109553038,34.45105109425302,34.45105109553038,0.0,0.0,1.0,1.0,5.603780854085532,-5.601430387094971,5.6037808263994675,-5.601430415322179,3.955581563611018e-06,3.949768898581239e-06,0.0,0.0,0.12452846342412292,-0.12447623082433269,-5.2771600711187316e-05,0.12452846280887706,-0.12447623145160398,-5.2771600711187316e-05,5.603780854085532,-5.601430387094971,-0.0006332592085342478,5.6037808263994675,-5.601430415322179,-0.0006332592085342478,-0.00014712376694185216,-0.00014711555977094332
31,0.031,4.162837398277968e-06,4.667393272885279e-05,-0.02800183289926988,-1.4690195732527672e-05,-0.0016276931346250409,-4.28941166092385e-05,0.0,-0.0012619097423383595,0.001564545750319144,0.0007822309440587974,0.0007823148062603466,0.4846285239358775,0.12452857152562274,0.35018773006099424,0.3501877300580123,-0.00018773006099426226,-0.00018773005801231424,34.451043069514114,34.45104307081126,34.451043069514114,34.45104307081126,0.0,0.0,1.0,1.0,5.6037857186530236,-5.601422653241938,5.6037856914171105,-5.601422681025887,4.1657383585108085e-06,4.159936438045128e-06,0.0,0.0,0.12452857152562274,-0.12447605896093196,-5.257957259743165e-05,0.12452857092038024,-0.12447605957835303,-5.257957259743165e-05,5.6037857186530236,-5.601422653241938,-0.0006309548711691797,5.6037856914171105,-5.601422681025887,-0.0006309548711691797,-0.00017283057157697267,-0.0001728210927177961
36,0.036000000000000004,4.411687220105472e-06,5.4412253321950785e-05,-0.028001913121401736,-1.6958883446036496e-05,-0.0016279365356512846,-5.2636376641370235e-05,0.0,-0.0012578244396633151,0.0015317688666204184,0.0007658430605970598,0.0007659258060233586,0.48462852657162353,0.12452868411395956,0.35018773266772435,0.3501877326647351,-0.0001877326677243718,-0.0001877326647350963,34.451034788461065,34.45103478977574,34.451034788461065,34.45103478977574,0.0,0.0,1.0,1.0,5.60379078512818,-5.601414884406159,5.603790758332161,-5.601414911755273,4.414582198549688e-06,4.408792241661256e-06,0.0,0.0,0.12452868411395956,-0.12447588632013687,-5.240935165263813e-05,0.12452868351849246,-0.12447588692789496,-5.240935165263813e-05,5.60379078512818,-5.601414884406159,-0.0006289122198316576,5.603790758332161,-5.601414911755273,-0.0006289122198316576,-0.00019952160305932945,-0.00019951094861211745
41,0.041,4.699222842300699e-06,6.214646878752637e-05,-0.028002004937236535,-1.931103367360568e-05,-0.001628230857682396,-6.311365348224639e-05,0.0,-0.0012542560115109077,0.0014988587490915033,0.0007493885185488009,0.0007494702305427024,0.4846285296752415,0.12452879652605918,0.35018773573025425,0.35018773572725725,-0.00018773573025426815,-0.0001877357272572766,34.45102629828251,34.45102629961217,34.45102629828251,34.45102629961217,0.0,0.0,1.0,1.0,5.603795843672663,-5.601407055446552,5.603795817283507,-5.601407082393081,4.702111297216287e-06,4.696334387385111e-06,0.0,0.0,0.12452879652605918,-0.12447571234325672,-5.2260667146287824e-05,0.1245287959396335,-0.12447571294206847,-5.2260667146287824e-05,5.603795843672663,-5.601407055446552,-0.0006271280057554539,5.603795817283507,-5.601407082393081,-0.0006271280057554539,-0.00022719450040801148,-0.00022718276250035746
46,0.046,5.025411770933302e-06,6.987060623912914e-05,-0.028002108763655647,-2.1746514970129946e-05,-0.0016285797406285665,-7.431434211697123e-05,0.0,-0.0012511984499703225,0.001465768853889882,0.0007328440513420349,0.0007329248025478472,0.48462853324402505,0.12452890920819731,0.35018773924774343,0.3501877392447378,-0.00018773924774345696,-0.00018773924473780568,34.451017666458284,34.45101766780086,34.451017666458284,34.45101766780086,0.0,0.0,1.0,1.0,5.603800914368879,-5.601399168215845,5.60380088835782,-5.601399194787921,5.028293218360205e-06,5.022530323506398e-06,0.0,0.0,0.12452890920819731,-0.12447553707146321,-5.213326874876344e-05,0.12452890863017377,-0.1244755376619538,-5.213326874876344e-05,5.603800914368879,-5.601399168215845,-0.0006255992249851613,5.60380088835782,-5.601399194787921,-0.0006255992249851613,-0.00025584771949538245,-0.0002558349856841456
