step,time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,x_velocity_reference,wheel_torque,pitch_torque,left_pitch_torque,right_pitch_torque,base_height,max_abs_ctrl,left_length,right_length,left_length_error,right_length_error,left_length_force_raw,right_length_force_raw,left_length_force,right_length_force,left_length_integral,right_length_integral,left_theta_force_scale,right_theta_force_scale,left_front_tau,left_rear_tau,right_front_tau,right_rear_tau,left_theta,right_theta,left_branch_violation,right_branch_violation,left_front_ctrl,left_rear_ctrl,left_wheel_ctrl,right_front_ctrl,right_rear_ctrl,right_wheel_ctrl,left_front_motor_tau,left_rear_motor_tau,left_wheel_motor_tau,right_front_motor_tau,right_rear_motor_tau,right_wheel_motor_tau,left_wheel_speed,right_wheel_speed
1,0.001,3.4776589537939145e-06,1.3230719369933883e-06,-0.02800157389403798,-8.830683259015829e-07,-0.00162709047064539,-8.897550622964418e-07,0.0,-0.0013402127529680986,0.0017649740518671346,0.0008824402936757,0.0008825337581914346,0.48462851736513035,0.12452784856934258,0.3501877235773882,0.350187723574425,-0.00018772357738822132,-0.00018772357442503607,34.451082792922854,34.451082794108125,34.451082792922854,34.451082794108125,0.0,0.0,1.0,1.0,5.603753185620416,-5.601468411350711,5.603753154636255,-5.601468442850807,3.4805797199106197e-06,3.4747381876772093e-06,0.0,0.0,0.12452784856934258,-0.12447707580779359,-5.5842198040337444e-05,0.12452784788080568,-0.12447707650779571,-5.5842198040337444e-05,5.603753185620416,-5.601468411350711,-0.0006701063764840493,5.603753154636255,-5.601468442850807,-0.0006701063764840493,-1.0389220739800169e-05,-1.0388857516707664e-05
6,0.006,3.4975210295071783e-06,8.028884666340404e-06,-0.028001591489539276,-5.248966726258154e-06,-0.0016271083075207883,-5.317457551443829e-06,0.0,-0.0013376484846300489,0.0017828228723886486,0.0008913657652084327,0.0008914571071802159,0.4846285174845648,0.12452776122421806,0.3501877236787044,0.35018772367574075,-0.000187723678704399,-0.00018772367574076965,34.45108010358276,34.45108010477801,34.45108010358276,34.45108010477801,0.0,0.0,1.0,1.0,5.603749255089813,-5.601471472045946,5.6037492249379595,-5.601471502715839,3.5004409886460824e-06,3.494601070368274e-06,0.0,0.0,0.12452776122421806,-0.12447714382324325,-5.5735353526252036e-05,0.12452776055417687,-0.12447714450479642,-5.5735353526252036e-05,5.603749255089813,-5.601471472045946,-0.0006688242423150244,5.6037492249379595,-5.601471502715839,-0.0006688242423150244,-6.175361412746517e-05,-6.175148531390314e-05
11,0.011,3.551745292341835e-06,1.5133372331494967e-05,-0.02800163035922583,-9.453974618284251e-06,-0.0016271475209754056,-9.495241760778805e-06,0.0,-0.0013378757079534178,0.0017986906768155606,0.0008993005917324797,0.0008993900850830809,0.4846285177573406,0.12452768218214122,0.35018772394639724,0.3501877239434325,-0.00018772394639726686,-0.0001877239434325273,34.45107732780712,34.45107732901981,34.45107732780712,34.45107732901981,0.0,0.0,1.0,1.0,5.603745698196355,-5.601474130449999,5.603745668770821,-5.6014741603982525,3.554663249987e-06,3.5488273346966707e-06,0.0,0.0,0.12452768218214122,-0.12447720289888886,-5.574482116472574e-05,0.12452768152824047,-0.12447720356440561,-5.574482116472574e-05,5.603745698196355,-5.601474130449999,-0.0006689378539767089,5.603745668770821,-5.6014741603982525,-0.0006689378539767089,-0.00011122513071735451,-0.00011122133088933374
16,0.016,3.6421374711706334e-06,2.2548078956160296e-05,-0.028001690185198148,-1.3646893336331871e-05,-0.0016272069437633214,-1.34501743505833e-05,0.0,-0.0013396708649538146,0.0018129394280300558,0.0009064257841214099,0.0009065136439086459,0.4846285181823473,0.12452761052497642,0.35018772437554363,0.3501877243725763,-0.00018772437554365196,-0.00018772437257630337,34.45107464709451,34.45107464832817,34.45107464709451,34.45107464832817,0.0,0.0,1.0,1.0,5.603742473623939,-5.601476487010246,5.6037424448411315,-5.601476516321715,3.64505240345107e-06,3.639222538890197e-06,0.0,0.0,0.12452761052497642,-0.12447725526689436,-5.581961937307561e-05,0.12452760988535848,-0.12447725591826034,-5.581961937307561e-05,5.603742473623939,-5.601476487010246,-0.0006698354324769073,5.6037424448411315,-5.601476516321715,-0.0006698354324769073,-0.0001605543717210146,-0.00016054900089855885
21,0.021,3.770119889102725e-06,3.0211712551899747e-05,-0.028001771124348467,-1.7894020902808406e-05,-0.0016272855395126266,-1.7207763350923192e-05,0.0,-0.0013424503105275076,0.0018258546191722638,0.0009128841106111044,0.0009129705085611595,0.4846285187503537,0.1245275453753094,0.3501877249525111,0.3501877249495401,-0.00018772495251112575,-0.00018772494954011343,34.45107216220174,34.45107216345758,34.45107216220174,34.45107216345758,0.0,0.0,1.0,1.0,5.603739541888923,-5.60147861405945,5.603739513681831,-5.60147864280163,3.773030909305491e-06,3.767208868899959e-06,0.0,0.0,0.1245275453753094,-0.12447730253465444,-5.5935429605312816e-05,0.12452754474848514,-0.12447730317336955,-5.5935429605312816e-05,5.603739541888923,-5.60147861405945,-0.0006712251552637538,5.603739513681831,-5.60147864280163,-0.0006712251552637538,-0.0002105213129343133,-0.00021051447301411976
26,0.026000000000000002,3.936841764704484e-06,3.807849429802396e-05,-0.028001873541397482,-2.222382455170949e-05,-0.0016273823911990323,-2.079080529411762e-05,0.0,-0.0013459352810657973,0.001837660206395502,0.0009187875655313107,0.0009188726408641912,0.48462851944699814,0.12452748595645743,0.35018772565951073,0.3501877256565348,-0.00018772565951075126,-0.00018772565653479845,34.451069927713675,34.4510699289909,34.451069927713675,34.4510699289909,0.0,0.0,1.0,1.0,5.603736868040585,-5.601480564363209,5.603736840354594,-5.6014805925905335,3.939748097277721e-06,3.933935432131247e-06,0.0,0.0,0.12452748595645743,-0.12447734587473798,-5.608063671107489e-05,0.1245274853412132,-0.12447734650201185,-5.608063671107489e-05,5.603736868040585,-5.601480564363209,-0.0006729676405328986,5.603736840354594,-5.6014805925905335,-0.0006729676405328986,-0.00026146086305956325,-0.00026145265580418945
31,0.031,4.1432708463097076e-06,4.612528650710421e-05,-0.028001997883445526,-2.664640407694539e-05,-0.0016274966325205398,-2.4201377438432814e-05,0.0,-0.0013499983848221748,0.001848423508245037,0.0009241698230370834,0.0009242536852079536,0.4846285202530692,0.12452742674983892,0.350187726475605,0.350187726472623,-0.000187726475604999,-0.00018772647262299547,34.451068008478096,34.451068009774964,34.451068008478096,34.451068009774964,0.0,0.0,1.0,1.0,5.603734203742752,-5.601482491245926,5.603734176506946,-5.6014825190299495,4.146171806334554e-06,4.140369886284861e-06,0.0,0.0,0.12452742674983892,-0.1244773886943539,-5.624993270092395e-05,0.1245274261445988,-0.12447738931177665,-5.624993270092395e-05,5.603734203742752,-5.601482491245926,-0.0006749991924110874,5.603734176506946,-5.6014825190299495,-0.0006749991924110874,-0.00031349184619718974,-0.0003134823673779959
36,0.036000000000000004,4.390214147488994e-06,5.4307061204676046e-05,-0.02800214463405639,-3.1167676103653174e-05,-0.0016276275153952263,-2.7476920592395435e-05,0.0,-0.0013545515947727786,0.0018583989418258229,0.0009291580981715357,0.0009292408436542872,0.48462852114727833,0.12452737758409604,0.3501877273780952,0.3501877273751061,-0.0001877273780952482,-0.00018772737510613924,34.45106640857325,34.45106640988774,34.45106640857325,34.45106640988774,0.0,0.0,1.0,1.0,5.603731991284322,-5.601484186058092,5.603731964488414,-5.6014842134073515,4.393109125937402e-06,4.387319169040586e-06,0.0,0.0,0.12452737758409604,-0.12447742635684649,-5.643964978219911e-05,0.12452737698863142,-0.12447742696460781,-5.643964978219911e-05,5.603731991284322,-5.601484186058092,-0.0006772757973863893,5.603731964488414,-5.6014842134073515,-0.0006772757973863893,-0.0003666838696499965,-0.0003666732151418429
41,0.041,4.6782955628864195e-06,6.259920287282034e-05,-0.028002314288798777,-3.5788109365176356e-05,-0.001627774410173645,-3.063222777493096e-05,0.0,-0.0013595509190440667,0.0018677430664107563,0.0009338306771557831,0.0009339123892549732,0.48462852210722257,0.12452733238294912,0.3501877283446188,0.35018772834162165,-0.0001877283446188316,-0.0001877283416216735,34.451065145897,34.45106514722653,34.451065145897,34.45106514722653,0.0,0.0,1.0,1.0,5.60372995723271,-5.601485811974767,5.603729930843677,-5.60148583892149,4.681184017744127e-06,4.675407108028713e-06,0.0,0.0,0.12452733238294912,-0.12447746248832815,-5.664795496016945e-05,0.12452733179652616,-0.12447746308714422,-5.664795496016945e-05,5.60372995723271,-5.601485811974767,-0.0006797754595220334,5.603729930843677,-5.60148583892149,-0.0006797754595220334,-0.0004210424497869888,-0.00042103071174657246
46,0.046,5.008024858702192e-06,7.09813146668073e-05,-0.028002507340867185,-4.050677327007493e-05,-0.0016279367530872202,-3.3679520928901185e-05,0.0,-0.001364971214825106,0.0018765593487488766,0.0009382392988808555,0.0009383200498680211,0.48462852310893917,0.12452729078248466,0.35018772935184217,0.35018772934883646,-0.00018772935184219186,-0.00018772934883648507,34.45106424425459,34.45106424559692,34.45106424425459,34.45106424559692,0.0,0.0,1.0,1.0,5.603728085211809,-5.6014873931429605,5.603728059201002,-5.601487419715104,5.010906306052078e-06,5.005143411352306e-06,0.0,0.0,0.12452729078248466,-0.12447749762539913,-5.6873800617712754e-05,0.1245272902044667,-0.1244774982158912,-5.6873800617712754e-05,5.603728085211809,-5.6014873931429605,-0.000682485607412553,5.603728059201002,-5.601487419715104,-0.000682485607412553,-0.0004765566407086142,-0.0004765439068225606
